comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
"@yosifransiskasitepu perpanjang klo g ada mitra yg open recruitment baru, mau masuk mana lagi?ð",perpanjang kalau tidak ada mitra yang open recruitment baru mau masuk mana lagi,1,1,1,0,0
"Keren ya ampe sekarang masih proses d sistem. Udah ga ngarep sih. Cuma lucu aja. Ya jgn keliatan bgt malesnya gtu buat provide sistem yg bisa auto reject. Masalah SR SPTJM lemot, ampe rejecting aja lemot. Halah WAKANDAAA FOREVER emg",keren iya sampai sekarang masih proses di sistem sudah tidak mengharap sih cuma lucu saja iya jangan kelihatan banget malesnya begitu buat provide sistem yang bisa auto reject masalah sr sptjm lambat sampai rejecting saja lambat halah wakandaaa forever memang,0,0,0,0,0
Untuk angkatan ke 5 kapan ya minð¥²,untuk angkatan ke kapan iya min,1,1,1,1,1
@tria__pjl msib tu apa sið¢,msib itu apa sih,1,0,1,0,0
Perpanjang lgi dong minnnn,perpanjang lagi dong minnnn,1,0,0,0,2
"@mhmadrizallll gara"" nungguin di proses gua ngorbanin magang di notaris bang",gara menunggu di proses saya mengorbankan magang di notaris bang,1,0,0,0,0
"@letsunshinegoestowaste wkwk tapi emang disini saingannyaa sama yang udah ikutt,trus mereka ikut lagi wkwk Ya kan di setiap perusahaan udahh ada kriterianyaa tergantung orang yang daftarnyaa aja nyambung apa engga wkwkwkwk",wkwk tapi memang disini saingannyaa sama yang sudah ikutttrus mereka ikut lagi wkwk iya kan di setiap perusahaan sudah ada kriterianyaa tergantung orang yang daftarnyaa saja menyambung apa tidak wkwkwkwk,2,0,1,0,0
"Izin tanya masih kaum awam , ini link nya kenapa ga bisa dibuka ya?",izin tanya masih kaum awam ini link nya kenapa tidak bisa dibuka iya,1,0,0,0,0
"Bagi yang kecewa menunggu dengan tulisan masih diproses. Daftar MSIB itu kaya apply kerja, daftar dibanyak perusahaan, ikutin interview yang ada, follow up jika ada yg menerima. Karna kalo daftar 1 per satu, toh sudah pasti penerimaan bakal dikabarin di dekat akhir pendaftaran MSIB, jangan berharap pada 1 tempat saja. Apply kerja juga jarang mengabari jika pendaftar itu tidak lolos. Bukan berarti mendukung hal tersebut, tapi memang begitu kenyataan yang ada. Lebih baik beradaptasi pada keadaan sekarang. Ambil pelajaran buat next batch ð¥ð¥",bagi yang kecewa menunggu dengan tulisan masih diproses daftar msib itu kayak apply kerja daftar dibanyak perusahaan mengikuti interview yang ada follow up jika ada yang menerima karena kalau daftar per satu toh sudah pasti penerimaan bakal dikabarin di dekat akhir pendaftaran msib jangan berharap pada tempat saja apply kerja juga jarang mengabari jika pendaftar itu tidak lolos bukan berarti mendukung hal tersebut tapi memang begitu kenyataan yang ada lebih baik beradaptasi pada keadaan sekarang ambil pelajaran buat lanjut batch,2,0,0,0,0
@inayahhanp ??? ð­ð­ð­ kalo mereka gak pada daftar tapi skill set kitanya gak sesuai dengan kebutuhan mitra tetep aja gak bakal ada kesempatan ð­,kalau mereka tidak pada daftar tapi skill set kitanya tidak sesuai dengan kebutuhan mitra tetap saja tidak bakal ada kesempatan,1,0,0,0,0
@rahman_andika05 keren CT Corp,keren ct corp,2,2,1,2,2
rejec lurrrrr,rejec lurrrrr,1,0,0,0,0
"@dediindra_14 biar gak kecewa jangan terlalu berharap bang, gw juga ikut stupen di bnr test logic dapet 100% ajah kagak di terima berkas semua aman udah verified semua wkwk. Tapi Alhamdulillah mitra lain ada yg ngasih penawaran hehe",biar tidak kecewa jangan terlalu berharap bang saya juga ikut stupen di benar test logic dapat saja tidak di terima berkas semua aman sudah verified semua wkwk tapi alhamdulillah mitra lain ada yang mengasih penawaran he,0,0,2,2,0
@nggiiuu sama aja euuy,sama saja euuy,1,0,0,0,2
"@dianicoputra ternyata ada yg lebih sakit lagi ya, udah diterima tapi ga eligible, ya masih mending siih bagibyg masih diproses semangat ð¥ð¥ð¥ð¥",ternyata ada yang lebih sakit lagi iya sudah diterima tapi tidak eligible iya masih lebih baik sih bagibyg masih diproses semangat,2,0,0,0,0
Kasih kejelasan dong min masa dari kapan tau masih diproses aja kl ditolak kasih kejelasannya,kasih kejelasan dong min masa dari kapan tahu masih diproses saja kalau ditolak kasih kejelasannya,2,0,1,0,0
"Tolong dong yang udah ikut MSIB udah gausah daftar lagi kasih kesempatan buat yang lain , Allah tidak suka dengan manusia serakah yakgesyakð emang paling keren kampus mengajar udahhh dia paham dan memberi relasi bagi yang belum mencoba. Fix kampus mengajarr paling mantep udah!!!",tolong dong yang sudah ikut msib sudah enggak usah daftar lagi kasih kesempatan buat yang lain allah tidak suka dengan manusia serakah yakgesyak memang paling keren kampus mengajar udahhh dia paham dan memberi relasi bagi yang belum mencoba fix kampus mengajarr paling mantap sudah,1,2,2,2,2
@reywooks sama kak,sama kak,1,1,1,2,2
Mbon ya nek ga di trima itu langsung di kasi keterangan jdi kita ga ngorbanin waktu kita buat nunggu yg kek ginian,mbon iya nek tidak di terima itu langsung di kasih keterangan jadi kita tidak mengorbankan waktu kita buat menunggu yang kayak beginian,1,0,0,0,0
"@akhsannurkholish ya bang,saya aja dapat email dan saya balas sampai sekarang gak ada keterangan",iya bangsaya saja dapat email dan saya balas sampai sekarang tidak ada keterangan,1,1,1,1,1
"Info magang teknik mesin, para-para korban 'sedang diproses'",informasi magang teknik mesin parapara korban sedang diproses,0,1,1,1,1
@pradana.du telat cari tempat magang lain gara-gara nungguin 'sedang diproses',terlambat cari tempat magang lain garagara menunggu sedang diproses,0,0,0,0,0
"@nggiiuu Oalah, kirain cuma aku",oalah mengira cuma aku,1,0,0,0,0
@bagasnagapraha jengkloooooong,jengkloooooong,1,2,0,0,2
@darryllaj ss lalu DM penasaran ðð,ss lalu dm penasaran,0,1,1,0,1
"@theorifai pusing juga sih mas, pdhl materai asli, dokumen persis sama temen"" malah beda hasilnya wkwk. Thanks mas sarannyað«¡",pusing juga sih mas padahal materai asli dokumen persis sama teman bahkan beda hasilnya wkwk terima kasih mas sarannya,2,0,0,0,0
@darryllaj wah makin banyak yg mention tanyakan langsung ke msib ya,wah makin banyak yang mention tanyakan langsung ke msib iya,2,1,1,1,1
"Ternyata ngak cintaku aja yg diproses diterima apa ngak, pendaftaran msib ku juga di proses, nasib2ð¢",ternyata tidak cintaku saja yang diproses diterima apa tidak pendaftaran msib ku juga di proses nasib2,2,0,1,1,0
"@theorifai mohon maaf mas, punya temen saya kan ttdnya dekan tetapi punya saya itu rektor. Tapi temen saya yg eligible tetapi punyaku gak, udah saya bandingin dokumenku sama dokumen temenku, diliat"" sama"" aja. Yang bikin beda emng apa ya?",mohon maaf mas punya teman saya kan ttdnya dekan tetapi punya saya itu rektor tapi teman saya yang eligible tetapi punyaku tidak sudah saya bandingkan dokumenku sama dokumen temenku dilihat sama saja yang bikin beda memang apa iya,0,0,0,0,0
@3ci___3 mewakili bgt :),mewakili banget,2,2,0,0,2
@syarbinilucky sekalian provide fitur cek eligibilitas berkas mandiri yg resmi,sekalian provide fitur cek eligibilitas berkas mandiri yang resmi,1,1,1,1,1
"Lebih baik buat pengumuman ""kesempatan 2 hari lagi buat ganti berkas"" ð¥",lebih baik buat pengumuman kesempatan hari lagi buat ganti berkas,2,1,1,1,1
"di sistem berkas udah eligible, tapi dari mitra menyatakan berkas non eligible, keluar nya SK dari kemendikbudristek ni?",di sistem berkas sudah eligible tapi dari mitra menyatakan berkas non eligible keluar nya suka dari kemendikbudristek ini,1,0,1,0,0
@agnespmhrn benar bgt. Melepas hal lain hanya utk MSIB :(. Sedih parah,benar banget melepas hal lain hanya untuk msib sedih parah,0,0,0,0,0
@mas.paijho sabarrr gess ð,sabar gess,1,2,2,2,2
@bro.swryz gpp mas kami mendukung kok untuk protes. Mitra jg banyak rugi kok udah menerima eh banyak gugur jamaah,enggak apa-apa mas kami mendukung kok untuk protes mitra juga banyak rugi kok sudah menerima eh banyak gugur jamaah,2,0,0,0,0
@mas.paijho alhamdulillah smatbilling terbaik untuknsaat inið,alhamdulillah smatbilling terbaik untuknsaat ini,2,2,2,2,2
@mas.paijho benar bung semangat,benar bung semangat,2,2,2,2,2
"please dong ditolak aja itu di web kalo emang udah gada harapan, jangan diproses terus. bikin ngarep tau nggað",please dong ditolak saja itu di web kalau memang sudah enggak ada harapan jangan diproses terus bikin mengharap tahu tidak,1,0,0,0,0
"RadaÂ² lucu si yaa sampe skrng masih bilang ""diproses"", setidaknya kasi tau lah ya kalo emang kita gak lolos gitu, gatau apa orang bolak-balik kampus cuma nyari ttd biar bisa daftar, tapi ya sudahlah yaaa!! Semangat guyss @wandaaaaah_ @hafiaturrodiah",rada lucu sih iya sampai sekarang masih bilang diproses setidaknya kasih tahu lah iya kalau memang kita tidak lolos begitu enggak tau apa orang bolakbalik kampus cuma mencari ttd biar bisa daftar tapi iya sudahlah iya semangat guyss,0,2,2,0,0
"@theorifai Ini cuma bentuk protes kami kok mas, yg mas katakan tentang mepet deadline atau kebenaran berkas itu sudah banyak dilakukan oleh mahasiswa tapi tetep ga ada jalan keluarnya hehe",ini cuma bentuk protes kami kok mas yang mas katakan tentang dekat sekali deadline atau kebenaran berkas itu sudah banyak dilakukan oleh mahasiswa tapi tetap tidak ada jalan keluarnya he,1,0,0,0,0
@theorifai maaf kak kenapa tidak semua dokumen di cek? Kenapa masih banyak mahasiswa yang dinyatakan tidak lulus karna statusnya on review alias blm ditinjau?,maaf kak kenapa tidak semua dokumen di cek kenapa masih banyak mahasiswa yang dinyatakan tidak lulus karena statusnya on review alias belum ditinjau,1,0,0,0,0
@shntiarf kasi tauð¹ð¤£,kasih tahu,1,1,1,2,1
@theorifai udah jauh hari om daftarnya sebelum DL daftar malah diundur dan kebanyakan deh yg daftar,sudah jauh hari om daftarnya sebelum dulu daftar bahkan diundur dan kebanyakan deh yang daftar,2,0,0,0,0
@bro.swryz ada plus minus kok dgn sistem ini. Next kalau daftar ga mendadak2 submitnya dan pastikan semua bener. Ga asal2.,ada plus minus kok dengan sistem ini lanjut kalau daftar tidak mendadak2 submitnya dan pastikan semua benar tidak asal2,2,0,1,0,0
"@theorifai Yasudah kalau memang begitu, Memang faktanya kayak gitu mas di batch ini, kami yg dianggap ga eligible blm tentu salah karena beberapa kasus berjalan tidak sinkron seperti lolosnya peserta banding yg merupakan proses tinjau ulang bukan revisi. Lalu penutupan banding tgl 27, tp di tgl 28 peserta blm tau status dokumennya dan hingga onboarding hari ini pun masih ada yg statusnya on-review alias masih dicek. Apa ngga merugikan kalau gitu. Kalau mitra masnya masih ikut batch ini harusnya paham kondisi mahasiswa. Bahkan mitra saya aja masih memperjuangkan dan memberikan kesempatan hingga akhir dan tetap nyatanya saya tdk bisa ikut batch ini.",yasudah kalau memang begitu memang faktanya kayak begitu mas di batch ini kami yang dianggap tidak eligible belum tentu salah karena beberapa kasus berjalan tidak sinkron seperti lolosnya peserta banding yang merupakan proses tinjau ulang bukan revisi lalu penutupan banding tanggal tapi di tanggal peserta belum tahu status dokumennya dan hingga onboarding hari ini pun masih ada yang statusnya onreview alias masih dicek apa tidak merugikan kalau begitu kalau mitra masnya masih ikut batch ini harusnya paham kondisi mahasiswa bahkan mitra saya saja masih memperjuangkan dan memberikan kesempatan hingga akhir dan tetap nyatanya saya tidak bisa ikut batch ini,2,0,0,0,0
"Gimana mau ,penerima tawaran dari mitra, sedangkan Web nya aj ,di Proses Mulu,. Udah ikut wawancara,dari tgl 9 kemarin dan sampai sekarang masi di prosesð¢ð¢",bagaimana mau penerima tawaran dari mitra sedangkan web nya saja di proses melulu sudah ikut wawancaradari tanggal kemarin dan sampai sekarang masih di proses,1,0,0,0,0
@letsunshinegoestowaste ðððð begitulah MSIB banyak error nya. Masih mencari2 format. Banyak drama yak. Tetap semangat rekan2 mahasiswa. Welcome to the jungle. Di mana dunia tidak seindah ketika orasi.,begitulah msib banyak error nya masih mencari2 format banyak drama iya tetap semangat rekan2 mahasiswa welcome tapi the jungle di mana dunia tidak seindah ketika orasi,2,0,0,0,0
@shesahk Los sabare,los sabare,1,2,1,2,2
"Ga min gw dah move on dari kata kata manis mitra yaitu ""proses""",tidak min saya deh move on dari kata kata manis mitra yaitu proses,2,0,2,0,1
@mas.paijho sabar,sabar,1,2,2,2,2
@bro.swryz pengalaman aja mas sebagai bagian mitra.,pengalaman saja mas sebagai bagian mitra,1,1,1,1,1
Udah tes malah katanya posisi penuh gimana? @magangmerdeka,sudah tes bahkan katanya posisi penuh bagaimana,2,1,1,0,1
Gak yo ngunu kang mas...? @shesahk @bagasnagapraha,tidak iya ngunu kang mas,1,0,0,0,2
"Hehehe Semua Hanya Takdir Yang Bisa Menentukan ð Sudah Berusaha Dengan Maksimal, Masalah Hasil Kita Ngga Berhak Ngatur @shesahk  @bagasnagapraha",hehehe semua hanya takdir yang bisa menentukan sudah berusaha dengan maksimal masalah hasil kita tidak berhak mengatur,1,2,2,0,0
"@theorifai âbanding kemarin sebagian besar mengupload ulang file lohâ adalah salah satu bukti miscomm pihak internal msib. Pak @siddiqinz sendiri yang bilang hanya boleh upload ulang berkas yang sudah di-submit di web ð¤£ makin keliatan regulasi dadakannya, kurang briefing apa ya, tag ketuanya deh @wahyuhari",banding kemarin sebagian besar mengupload ulang file loh adalah salah satu bukti miscomm pihak internal msib pak sendiri yang bilang hanya boleh upload ulang berkas yang sudah disubmit di web makin kelihatan regulasi dadakannya kurang briefing apa iya tag ketuanya deh,2,0,0,0,0
Keluh kesah kena php ya kak,keluh kesah kena php iya kak,0,0,0,0,0
@vadpavloo sama kak diproses mulu,sama kak diproses melulu,1,0,0,0,0
"@theorifai masih saya tunggu klarifikasi soal banding dan upload dokumen banding yang benar seperti apa. Apalagi mengacu dari komentar Anda, sepertinya Kak Theo merupakan bagian dari tim msib. Apakah harus dokumen yang sama atau diperbolehkan mengunggah ulang dokumen revisi karena mengacu pada laman story @magangmerdeka waktu itu, banding bukan revisi. Minimal beri kami penjelasan yang konkret agar tidak muncul asumsiÂ² buruk kedepannya. Jika memang banding bukan revisi, maka akui saja bila dari pihak msib ybs juga melakukan kekeliruan saat verifikasi sehingga diperlukan banding oleh mahasiswa yang tidak merasa salah. Lalu bagaimana soal peserta yang baru mengetahui status dokumennya setelah banding ditutup? Apakah itu adil? Berani berbuat berani bertanggung jawab, Kami sbg mahasiswa juga butuh kejelasan. Terima kasih.",masih saya tunggu klarifikasi soal banding dan upload dokumen banding yang benar seperti apa apalagi mengacu dari komentar anda sepertinya kak theo merupakan bagian dari tim msib apakah harus dokumen yang sama atau diperbolehkan mengunggah ulang dokumen revisi karena mengacu pada laman story waktu itu banding bukan revisi minimal beri kami penjelasan yang konkret agar tidak muncul asumsi buruk kedepannya jika memang banding bukan revisi maka akui saja bila dari pihak msib ybs juga melakukan kekeliruan saat verifikasi sehingga diperlukan banding oleh mahasiswa yang tidak merasa salah lalu bagaimana soal peserta yang baru mengetahui status dokumennya setelah banding ditutup apakah itu adil berani berbuat berani bertanggung jawab kami sebagai mahasiswa juga butuh kejelasan terima kasih,2,0,0,0,0
@bchanh18_ aku baru dapat kepastian kalau akan kena cut off dan suruh nunggu status di webnya akan berubah,aku baru dapat kepastian kalau akan kena cut off dan suruh menunggu status di webnya akan berubah,1,1,1,1,1
@bchanh18_ spill mitranya kak,spill mitranya kak,1,1,1,2,1
"@crownedk1ng sampai saat ini masih blm ada balasan lg dari mitra. Saya masih menunggu kepastian, setidaknya kalau memang saya dicutt off atau tidak saya ingin tau saja sih mas.",sampai saat ini masih belum ada balasan lagi dari mitra saya masih menunggu kepastian setidaknya kalau memang saya dicutt off atau tidak saya ingin tahu saja sih mas,0,1,1,0,0
Tidurlah karena semua butuh mimpi ð,tidurlah karena semua butuh mimpi,1,1,1,1,0
"Email yg masuk YouTube, spotify, sertif, webinar, bibit, dll, ada si msib tapi smpe skrng masi kalem yang manggil wkwk",email yang masuk youtube spotify sertif webinar bibit dan lain-lain ada sih msib tapi sampai sekarang masih kalem yang manggil wkwk,2,0,1,0,1
"@yunpnzr Minimal cari tau dulu kalau mau ngomong, helpdesk ga ngasih solusi, udah sering dihubungin jawabannya template. Jangankan helpdesk, Koor PT aja kaga bisa kasih pengaruh. Yang namanya aturan main disepakati di awal, ada juknis juklaknya yang jelas dan konsisten. Ga ada aturan main tibaÂ² diganti di tengah permainanð",minimal cari tahu dulu kalau mau mengomong helpdesk tidak mengasih solusi sudah sering dihubungin jawabannya template jangankan helpdesk koor pt saja tidak bisa kasih pengaruh yang namanya aturan main disepakati di awal ada juknis juklaknya yang jelas dan konsisten tidak ada aturan main tiba diganti di tengah permainan,2,0,0,0,0
"@babu_abu_abu namanya proses seleksi itu pasti ada masalah, gak mungkin 100% sukses dan semua proses seleksi pasti ada kolom banding. Harusnya semua orang tau ini, kecuali hidupnya gak pernah ikut seleksi. Disini gue liat emang mayoritas mutlak salah mahasiswa sih, kenapa gak mau cari tau sendiri trus milih berkoar ""MSIB gak adil! masa berkas gue bener semua disalahin"". Lah kenapa gak tanya kolom banding di helpdesk? Sekarang yang butuh siapa? Ya ikutin aturan mainnya. Kalo peserta ngerasa ada yang salah brarti peserta yang gak paham maksudnya",namanya proses seleksi itu pasti ada masalah tidak mungkin sukses dan semua proses seleksi pasti ada kolom banding harusnya semua orang tahu ini kecuali hidupnya tidak pernah ikut seleksi disini saya lihat memang mayoritas mutlak salah mahasiswa sih kenapa tidak mau cari tahu sendiri terus memilih berkoar msib tidak adil masa berkas saya benar semua disalahin lah kenapa tidak tanya kolom banding di helpdesk sekarang yang butuh siapa iya mengikuti aturan mainnya kalau peserta merasa ada yang salah berarti peserta yang tidak paham maksudnya,0,0,0,0,0
@bchanh18_ mas jadi sekarang masih ikut magang di mitranya apa engga ya?,mas jadi sekarang masih ikut magang di mitranya apa tidak iya,1,1,1,1,1
"@theorifai dah bang, argument lu udh banyak dipatahkan sama fakta. Faktanya banyak yg banding trs ACC dgn file yg sama krn ya itu tinjau ulang dokumen, bukan bikin ulang dokumen",deh bang argument kamu sudah banyak dipatahkan sama fakta faktanya banyak yang banding terus accord dengan file yang sama karena iya itu tinjau ulang dokumen bukan bikin ulang dokumen,2,0,0,0,0
"@putriiaane ya makanya saya kasih disclaimer. Tpi krn mbkm ini, kebijakan kampus jdi terlalu memberatkan klo cuma ngandelin msib yg skala nasional & mitra yg kerja sama ama univ bisa dihitung jari. Sedangkan satu angkatan d fakultas aja jumlahnya salah satu yg terbanyak d univ",iya makanya saya kasih disclaimer tapi karena mbkm ini kebijakan kampus jadi terlalu memberatkan kalau cuma ngandelin msib yang skala nasional mitra yang kerja sama sama universitas bisa dihitung jari sedangkan satu angkatan di fakultas saja jumlahnya salah satu yang terbanyak di universitas,2,0,0,0,0
@dehwyirnaya03 tolong lah ad kejelasanya,tolong lah ada kejelasanya,1,1,1,0,1
Gimana nih kak udah dinyatakan lolos di mitra tapi di msib masih proses belum ad kejelasan setidaknya ada kejelasan lahh,bagaimana ini kak sudah dinyatakan lolos di mitra tapi di msib masih proses belum ada kejelasan setidaknya ada kejelasan lah,0,1,1,0,1
@qindardanii kita blm bisa ya?,kita belum bisa iya,1,1,1,0,1
"@theorifai ketauan deh knp kualitas sistem msib masih kurang, ternyata modelan panitianya begini",ketahuan deh kenapa kualitas sistem msib masih kurang ternyata modelan panitianya begini,1,0,0,0,0
@babu_abu_abu ok makasih informasinya,ok terima kasih informasinya,2,1,1,1,1
"Matra mitra matra mitra, udahlah, msib4 tahun ini bener bener kacau",matra mitra matra mitra sudahlah msib4 tahun ini benar benar kacau,2,0,0,0,0
"@bro.swryz emg dri MSIB bro, diatas bilang âkita dari MSIBâ. Makanya cukup membuat sakit ya melihat pernyataan dari salah satau pihak MSIB yg sangat menyalahkan mahasiswa. Padahal kami cuma minta klarifikasi, evaluasi, atau minimal minta maaf.",memang dari msib saudara laki-laki diatas bilang kita dari msib makanya cukup membuat sakit iya melihat pernyataan dari salah satau pihak msib yang sangat menyalahkan mahasiswa padahal kami cuma meminta klarifikasi evaluasi atau minimal meminta maaf,0,0,0,0,0
"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",apakah studi independen mendapatkan uang saku setidaknya untuk beli kuota karena ternyata banyak pertrmuan sinkronusnya,2,1,1,1,1
Gue udah nethink abangnya ini salah satu tim msibð denial bangettttt,saya sudah nethink abangnya ini salah satu tim msib denial banget,1,2,2,1,0
"@babu_abu_abu di kampus saya magang mandiri masih ada. tergantung kebijakan kampus kalo itu, bukan urusan pihak MSIB",di kampus saya magang mandiri masih ada tergantung kebijakan kampus kalau itu bukan urusan pihak msib,1,1,1,1,0
"@theorifai hoki itu adalah mitos. Yang ada adalah salah satu atau kedua belah pihak yg salah. Okelah bagi temen temen mahaiswa yang lolos kemudian. Lalu bagaimana dengan mahasiswa lain yang padahal isi dokumennya sama (cuma beda di informasi pribadi) tapi tidak lulus? Berarti ada kesalahan saat verifikasi dong? Kan tadi abang bilang kalau panitia harus ngurusin puluhan ribu berkas kan, berarti ada celah human error dari pihak MSIB. Lalu kenapa tetap memiliki pandangan bahwa kami yang tidak teliti dan asal asaln?",hoki itu adalah mitos yang ada adalah salah satu atau kedua belah pihak yang salah okelah bagi teman teman mahaiswa yang lolos kemudian lalu bagaimana dengan mahasiswa lain yang padahal isi dokumennya sama cuma beda di informasi pribadi tapi tidak lulus berarti ada kesalahan saat verifikasi dong kan tadi abang bilang kalau panitia harus mengurusi puluhan ribu berkas kan berarti ada celah human error dari pihak msib lalu kenapa tetap memiliki pandangan bahwa kami yang tidak teliti dan asal asaln,0,0,0,0,0
lucu. udah on boarding masi aja offering. apa2 di perpanjang yaa. giliran seleksi berkas yang mendadak cuma diperpanjang itungan jam,lucu sudah on boarding masih saja offering apa-apa di perpanjang iya giliran seleksi berkas yang mendadak cuma diperpanjang hitungan jam,2,0,0,0,0
@bro.swryz padahal mahasiswa mana yang daftar MSIB asal asalan. Informasi dan sistem yg kurang malah lempar batu sembunyi tangan. Ujung ujungnya mahasiswa lagi yang harus ngalah dan âsalahâ menurut mereka.,padahal mahasiswa mana yang daftar msib asal asalan informasi dan sistem yang kurang bahkan lempar batu sembunyi tangan ujung ujungnya mahasiswa lagi yang harus mengalah dan salah menurut mereka,0,0,0,0,0
"@bro.swryz pantesan kacau bro, wong salah satu panitianya aja gini, bukannya minta maaf malah nyalahin dan menganggap kesalahan adalah sebuah hal yg biasa wkwkwk",pantesan kacau saudara laki-laki wong salah satu panitianya saja begini bukannya meminta maaf bahkan menyalahkan dan menganggap kesalahan adalah sebuah hal yang biasa wkwkwk,2,0,0,0,0
