,comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
57,"@dianicoputra ternyata ada yg lebih sakit lagi ya, udah diterima tapi ga eligible, ya masih mending siih bagibyg masih diproses semangat 🔥🔥🔥🔥",ternyata ada yang lebih sakit lagi iya sudah diterima tapi tidak eligible iya masih lebih baik sih bagibyg masih diproses semangat,Positif,Negatif,Negatif,negative,negative
58,Kasih kejelasan dong min masa dari kapan tau masih diproses aja kl ditolak kasih kejelasannya,kasih kejelasan dong min masa dari kapan tahu masih diproses saja kalau ditolak kasih kejelasannya,Positif,Negatif,Netral,negative,negative
59,"Tolong dong yang udah ikut MSIB udah gausah daftar lagi kasih kesempatan buat yang lain , Allah tidak suka dengan manusia serakah yakgesyak🙏 emang paling keren kampus mengajar udahhh dia paham dan memberi relasi bagi yang belum mencoba. Fix kampus mengajarr paling mantep udah!!!",tolong dong yang sudah ikut msib sudah enggak usah daftar lagi kasih kesempatan buat yang lain allah tidak suka dengan manusia serakah yakgesyak memang paling keren kampus mengajar udahhh dia paham dan memberi relasi bagi yang belum mencoba fix kampus mengajarr paling mantap sudah,Netral,Positif,Positif,positive,positive
60,@reywooks sama kak,sama kak,Netral,Netral,Netral,positive,positive
61,Mbon ya nek ga di trima itu langsung di kasi keterangan jdi kita ga ngorbanin waktu kita buat nunggu yg kek ginian,mbon iya nek tidak di terima itu langsung di kasih keterangan jadi kita tidak mengorbankan waktu kita buat menunggu yang kayak beginian,Netral,Negatif,Negatif,negative,negative
62,"@akhsannurkholish ya bang,saya aja dapat email dan saya balas sampai sekarang gak ada keterangan",iya bangsaya saja dapat email dan saya balas sampai sekarang tidak ada keterangan,Netral,Netral,Netral,neutral,neutral
63,"Info magang teknik mesin, para-para korban 'sedang diproses'",informasi magang teknik mesin parapara korban sedang diproses,Negatif,Netral,Netral,neutral,neutral
64,@pradana.du telat cari tempat magang lain gara-gara nungguin 'sedang diproses',terlambat cari tempat magang lain garagara menunggu sedang diproses,Negatif,Negatif,Negatif,negative,negative
65,"@nggiiuu Oalah, kirain cuma aku",oalah mengira cuma aku,Netral,Negatif,Negatif,negative,negative
66,@bagasnagapraha jengkloooooong,jengkloooooong,Netral,Positif,Negatif,negative,positive
67,@darryllaj ss lalu DM penasaran 😂😂,ss lalu dm penasaran,Negatif,Netral,Netral,negative,neutral
68,"@theorifai pusing juga sih mas, pdhl materai asli, dokumen persis sama temen"" malah beda hasilnya wkwk. Thanks mas sarannya🫡",pusing juga sih mas padahal materai asli dokumen persis sama teman bahkan beda hasilnya wkwk terima kasih mas sarannya,Positif,Negatif,Negatif,negative,negative
69,@darryllaj wah makin banyak yg mention tanyakan langsung ke msib ya,wah makin banyak yang mention tanyakan langsung ke msib iya,Positif,Netral,Netral,neutral,neutral
70,"Ternyata ngak cintaku aja yg diproses diterima apa ngak, pendaftaran msib ku juga di proses, nasib2😢",ternyata tidak cintaku saja yang diproses diterima apa tidak pendaftaran msib ku juga di proses nasib2,Positif,Negatif,Netral,neutral,negative
71,"@theorifai mohon maaf mas, punya temen saya kan ttdnya dekan tetapi punya saya itu rektor. Tapi temen saya yg eligible tetapi punyaku gak, udah saya bandingin dokumenku sama dokumen temenku, diliat"" sama"" aja. Yang bikin beda emng apa ya?",mohon maaf mas punya teman saya kan ttdnya dekan tetapi punya saya itu rektor tapi teman saya yang eligible tetapi punyaku tidak sudah saya bandingkan dokumenku sama dokumen temenku dilihat sama saja yang bikin beda memang apa iya,Negatif,Negatif,Negatif,negative,negative
72,@3ci___3 mewakili bgt :),mewakili banget,Positif,Positif,Negatif,negative,positive
73,@syarbinilucky sekalian provide fitur cek eligibilitas berkas mandiri yg resmi,sekalian provide fitur cek eligibilitas berkas mandiri yang resmi,Netral,Netral,Netral,neutral,neutral
74,"Lebih baik buat pengumuman ""kesempatan 2 hari lagi buat ganti berkas"" 🔥",lebih baik buat pengumuman kesempatan hari lagi buat ganti berkas,Positif,Netral,Netral,neutral,neutral
75,"di sistem berkas udah eligible, tapi dari mitra menyatakan berkas non eligible, keluar nya SK dari kemendikbudristek ni?",di sistem berkas sudah eligible tapi dari mitra menyatakan berkas non eligible keluar nya suka dari kemendikbudristek ini,Netral,Negatif,Netral,negative,negative
76,@agnespmhrn benar bgt. Melepas hal lain hanya utk MSIB :(. Sedih parah,benar banget melepas hal lain hanya untuk msib sedih parah,Negatif,Negatif,Negatif,negative,negative
77,@mas.paijho sabarrr gess 🙌,sabar gess,Netral,Positif,Positif,positive,positive
78,@bro.swryz gpp mas kami mendukung kok untuk protes. Mitra jg banyak rugi kok udah menerima eh banyak gugur jamaah,enggak apa-apa mas kami mendukung kok untuk protes mitra juga banyak rugi kok sudah menerima eh banyak gugur jamaah,Positif,Negatif,Negatif,negative,negative
79,@mas.paijho alhamdulillah smatbilling terbaik untuknsaat ini😂,alhamdulillah smatbilling terbaik untuknsaat ini,Positif,Positif,Positif,positive,positive
80,@mas.paijho benar bung semangat,benar bung semangat,Positif,Positif,Positif,positive,positive
81,"please dong ditolak aja itu di web kalo emang udah gada harapan, jangan diproses terus. bikin ngarep tau ngga🙂",please dong ditolak saja itu di web kalau memang sudah enggak ada harapan jangan diproses terus bikin mengharap tahu tidak,Netral,Negatif,Negatif,negative,negative
82,"Rada² lucu si yaa sampe skrng masih bilang ""diproses"", setidaknya kasi tau lah ya kalo emang kita gak lolos gitu, gatau apa orang bolak-balik kampus cuma nyari ttd biar bisa daftar, tapi ya sudahlah yaaa!! Semangat guyss @wandaaaaah_ @hafiaturrodiah",rada lucu sih iya sampai sekarang masih bilang diproses setidaknya kasih tahu lah iya kalau memang kita tidak lolos begitu enggak tau apa orang bolakbalik kampus cuma mencari ttd biar bisa daftar tapi iya sudahlah iya semangat guyss,Negatif,Positif,Positif,negative,negative
83,"@theorifai Ini cuma bentuk protes kami kok mas, yg mas katakan tentang mepet deadline atau kebenaran berkas itu sudah banyak dilakukan oleh mahasiswa tapi tetep ga ada jalan keluarnya hehe",ini cuma bentuk protes kami kok mas yang mas katakan tentang dekat sekali deadline atau kebenaran berkas itu sudah banyak dilakukan oleh mahasiswa tapi tetap tidak ada jalan keluarnya he,Netral,Negatif,Negatif,negative,negative
84,@theorifai maaf kak kenapa tidak semua dokumen di cek? Kenapa masih banyak mahasiswa yang dinyatakan tidak lulus karna statusnya on review alias blm ditinjau?,maaf kak kenapa tidak semua dokumen di cek kenapa masih banyak mahasiswa yang dinyatakan tidak lulus karena statusnya on review alias belum ditinjau,Netral,Negatif,Negatif,negative,negative
85,@shntiarf kasi tau😹🤣,kasih tahu,Netral,Netral,Netral,positive,neutral
86,@theorifai udah jauh hari om daftarnya sebelum DL daftar malah diundur dan kebanyakan deh yg daftar,sudah jauh hari om daftarnya sebelum dulu daftar bahkan diundur dan kebanyakan deh yang daftar,Positif,Negatif,Negatif,negative,negative
87,@bro.swryz ada plus minus kok dgn sistem ini. Next kalau daftar ga mendadak2 submitnya dan pastikan semua bener. Ga asal2.,ada plus minus kok dengan sistem ini lanjut kalau daftar tidak mendadak2 submitnya dan pastikan semua benar tidak asal2,Positif,Negatif,Netral,negative,negative
88,"@theorifai Yasudah kalau memang begitu, Memang faktanya kayak gitu mas di batch ini, kami yg dianggap ga eligible blm tentu salah karena beberapa kasus berjalan tidak sinkron seperti lolosnya peserta banding yg merupakan proses tinjau ulang bukan revisi. Lalu penutupan banding tgl 27, tp di tgl 28 peserta blm tau status dokumennya dan hingga onboarding hari ini pun masih ada yg statusnya on-review alias masih dicek. Apa ngga merugikan kalau gitu. Kalau mitra masnya masih ikut batch ini harusnya paham kondisi mahasiswa. Bahkan mitra saya aja masih memperjuangkan dan memberikan kesempatan hingga akhir dan tetap nyatanya saya tdk bisa ikut batch ini.",yasudah kalau memang begitu memang faktanya kayak begitu mas di batch ini kami yang dianggap tidak eligible belum tentu salah karena beberapa kasus berjalan tidak sinkron seperti lolosnya peserta banding yang merupakan proses tinjau ulang bukan revisi lalu penutupan banding tanggal tapi di tanggal peserta belum tahu status dokumennya dan hingga onboarding hari ini pun masih ada yang statusnya onreview alias masih dicek apa tidak merugikan kalau begitu kalau mitra masnya masih ikut batch ini harusnya paham kondisi mahasiswa bahkan mitra saya saja masih memperjuangkan dan memberikan kesempatan hingga akhir dan tetap nyatanya saya tidak bisa ikut batch ini,Positif,Negatif,Negatif,negative,negative
89,"Gimana mau ,penerima tawaran dari mitra, sedangkan Web nya aj ,di Proses Mulu,. Udah ikut wawancara,dari tgl 9 kemarin dan sampai sekarang masi di proses😢😢",bagaimana mau penerima tawaran dari mitra sedangkan web nya saja di proses melulu sudah ikut wawancaradari tanggal kemarin dan sampai sekarang masih di proses,Netral,Negatif,Negatif,negative,negative
90,@letsunshinegoestowaste 😂😂😂😂 begitulah MSIB banyak error nya. Masih mencari2 format. Banyak drama yak. Tetap semangat rekan2 mahasiswa. Welcome to the jungle. Di mana dunia tidak seindah ketika orasi.,begitulah msib banyak error nya masih mencari2 format banyak drama iya tetap semangat rekan2 mahasiswa welcome tapi the jungle di mana dunia tidak seindah ketika orasi,Positif,Negatif,Negatif,negative,negative
91,@shesahk Los sabare,los sabare,Netral,Positif,Netral,positive,positive
92,"Ga min gw dah move on dari kata kata manis mitra yaitu ""proses""",tidak min saya deh move on dari kata kata manis mitra yaitu proses,Positif,Negatif,Positif,negative,neutral
93,@mas.paijho sabar,sabar,Netral,Positif,Positif,positive,positive
94,@bro.swryz pengalaman aja mas sebagai bagian mitra.,pengalaman saja mas sebagai bagian mitra,Netral,Netral,Netral,neutral,neutral
95,Udah tes malah katanya posisi penuh gimana? @magangmerdeka,sudah tes bahkan katanya posisi penuh bagaimana,Positif,Netral,Netral,negative,neutral
96,Gak yo ngunu kang mas...? @shesahk @bagasnagapraha,tidak iya ngunu kang mas,Netral,Negatif,Negatif,negative,positive
97,"Hehehe Semua Hanya Takdir Yang Bisa Menentukan 😄 Sudah Berusaha Dengan Maksimal, Masalah Hasil Kita Ngga Berhak Ngatur @shesahk  @bagasnagapraha",hehehe semua hanya takdir yang bisa menentukan sudah berusaha dengan maksimal masalah hasil kita tidak berhak mengatur,Netral,Positif,Positif,negative,negative
98,"@theorifai “banding kemarin sebagian besar mengupload ulang file loh” adalah salah satu bukti miscomm pihak internal msib. Pak @siddiqinz sendiri yang bilang hanya boleh upload ulang berkas yang sudah di-submit di web 🤣 makin keliatan regulasi dadakannya, kurang briefing apa ya, tag ketuanya deh @wahyuhari",banding kemarin sebagian besar mengupload ulang file loh adalah salah satu bukti miscomm pihak internal msib pak sendiri yang bilang hanya boleh upload ulang berkas yang sudah disubmit di web makin kelihatan regulasi dadakannya kurang briefing apa iya tag ketuanya deh,Positif,Negatif,Negatif,negative,negative
99,Keluh kesah kena php ya kak,keluh kesah kena php iya kak,Negatif,Negatif,Negatif,negative,negative
100,@vadpavloo sama kak diproses mulu,sama kak diproses melulu,Netral,Negatif,Negatif,negative,negative
101,"@theorifai masih saya tunggu klarifikasi soal banding dan upload dokumen banding yang benar seperti apa. Apalagi mengacu dari komentar Anda, sepertinya Kak Theo merupakan bagian dari tim msib. Apakah harus dokumen yang sama atau diperbolehkan mengunggah ulang dokumen revisi karena mengacu pada laman story @magangmerdeka waktu itu, banding bukan revisi. Minimal beri kami penjelasan yang konkret agar tidak muncul asumsi² buruk kedepannya. Jika memang banding bukan revisi, maka akui saja bila dari pihak msib ybs juga melakukan kekeliruan saat verifikasi sehingga diperlukan banding oleh mahasiswa yang tidak merasa salah. Lalu bagaimana soal peserta yang baru mengetahui status dokumennya setelah banding ditutup? Apakah itu adil? Berani berbuat berani bertanggung jawab, Kami sbg mahasiswa juga butuh kejelasan. Terima kasih.",masih saya tunggu klarifikasi soal banding dan upload dokumen banding yang benar seperti apa apalagi mengacu dari komentar anda sepertinya kak theo merupakan bagian dari tim msib apakah harus dokumen yang sama atau diperbolehkan mengunggah ulang dokumen revisi karena mengacu pada laman story waktu itu banding bukan revisi minimal beri kami penjelasan yang konkret agar tidak muncul asumsi buruk kedepannya jika memang banding bukan revisi maka akui saja bila dari pihak msib ybs juga melakukan kekeliruan saat verifikasi sehingga diperlukan banding oleh mahasiswa yang tidak merasa salah lalu bagaimana soal peserta yang baru mengetahui status dokumennya setelah banding ditutup apakah itu adil berani berbuat berani bertanggung jawab kami sebagai mahasiswa juga butuh kejelasan terima kasih,Positif,Negatif,Negatif,negative,negative
103,@bchanh18_ aku baru dapat kepastian kalau akan kena cut off dan suruh nunggu status di webnya akan berubah,aku baru dapat kepastian kalau akan kena cut off dan suruh menunggu status di webnya akan berubah,Netral,Netral,Netral,neutral,neutral
104,@bchanh18_ spill mitranya kak,spill mitranya kak,Netral,Netral,Netral,positive,neutral
105,"@crownedk1ng sampai saat ini masih blm ada balasan lg dari mitra. Saya masih menunggu kepastian, setidaknya kalau memang saya dicutt off atau tidak saya ingin tau saja sih mas.",sampai saat ini masih belum ada balasan lagi dari mitra saya masih menunggu kepastian setidaknya kalau memang saya dicutt off atau tidak saya ingin tahu saja sih mas,Negatif,Netral,Netral,negative,negative
106,Tidurlah karena semua butuh mimpi 😌,tidurlah karena semua butuh mimpi,Netral,Netral,Netral,neutral,negative
107,"Email yg masuk YouTube, spotify, sertif, webinar, bibit, dll, ada si msib tapi smpe skrng masi kalem yang manggil wkwk",email yang masuk youtube spotify sertif webinar bibit dan lain-lain ada sih msib tapi sampai sekarang masih kalem yang manggil wkwk,Positif,Negatif,Netral,negative,neutral
108,"@yunpnzr Minimal cari tau dulu kalau mau ngomong, helpdesk ga ngasih solusi, udah sering dihubungin jawabannya template. Jangankan helpdesk, Koor PT aja kaga bisa kasih pengaruh. Yang namanya aturan main disepakati di awal, ada juknis juklaknya yang jelas dan konsisten. Ga ada aturan main tiba² diganti di tengah permainan😂",minimal cari tahu dulu kalau mau mengomong helpdesk tidak mengasih solusi sudah sering dihubungin jawabannya template jangankan helpdesk koor pt saja tidak bisa kasih pengaruh yang namanya aturan main disepakati di awal ada juknis juklaknya yang jelas dan konsisten tidak ada aturan main tiba diganti di tengah permainan,Positif,Negatif,Negatif,negative,negative
110,"@babu_abu_abu namanya proses seleksi itu pasti ada masalah, gak mungkin 100% sukses dan semua proses seleksi pasti ada kolom banding. Harusnya semua orang tau ini, kecuali hidupnya gak pernah ikut seleksi. Disini gue liat emang mayoritas mutlak salah mahasiswa sih, kenapa gak mau cari tau sendiri trus milih berkoar ""MSIB gak adil! masa berkas gue bener semua disalahin"". Lah kenapa gak tanya kolom banding di helpdesk? Sekarang yang butuh siapa? Ya ikutin aturan mainnya. Kalo peserta ngerasa ada yang salah brarti peserta yang gak paham maksudnya",namanya proses seleksi itu pasti ada masalah tidak mungkin sukses dan semua proses seleksi pasti ada kolom banding harusnya semua orang tahu ini kecuali hidupnya tidak pernah ikut seleksi disini saya lihat memang mayoritas mutlak salah mahasiswa sih kenapa tidak mau cari tahu sendiri terus memilih berkoar msib tidak adil masa berkas saya benar semua disalahin lah kenapa tidak tanya kolom banding di helpdesk sekarang yang butuh siapa iya mengikuti aturan mainnya kalau peserta merasa ada yang salah berarti peserta yang tidak paham maksudnya,Negatif,Negatif,Negatif,negative,negative
111,@bchanh18_ mas jadi sekarang masih ikut magang di mitranya apa engga ya?,mas jadi sekarang masih ikut magang di mitranya apa tidak iya,Netral,Netral,Netral,neutral,neutral
113,"@theorifai dah bang, argument lu udh banyak dipatahkan sama fakta. Faktanya banyak yg banding trs ACC dgn file yg sama krn ya itu tinjau ulang dokumen, bukan bikin ulang dokumen",deh bang argument kamu sudah banyak dipatahkan sama fakta faktanya banyak yang banding terus accord dengan file yang sama karena iya itu tinjau ulang dokumen bukan bikin ulang dokumen,Positif,Negatif,Negatif,negative,negative
114,"@putriiaane ya makanya saya kasih disclaimer. Tpi krn mbkm ini, kebijakan kampus jdi terlalu memberatkan klo cuma ngandelin msib yg skala nasional & mitra yg kerja sama ama univ bisa dihitung jari. Sedangkan satu angkatan d fakultas aja jumlahnya salah satu yg terbanyak d univ",iya makanya saya kasih disclaimer tapi karena mbkm ini kebijakan kampus jadi terlalu memberatkan kalau cuma ngandelin msib yang skala nasional mitra yang kerja sama sama universitas bisa dihitung jari sedangkan satu angkatan di fakultas saja jumlahnya salah satu yang terbanyak di universitas,Positif,Negatif,Negatif,negative,negative
116,@dehwyirnaya03 tolong lah ad kejelasanya,tolong lah ada kejelasanya,Netral,Netral,Netral,negative,neutral
117,Gimana nih kak udah dinyatakan lolos di mitra tapi di msib masih proses belum ad kejelasan setidaknya ada kejelasan lahh,bagaimana ini kak sudah dinyatakan lolos di mitra tapi di msib masih proses belum ada kejelasan setidaknya ada kejelasan lah,Negatif,Netral,Netral,negative,neutral
118,@qindardanii kita blm bisa ya?,kita belum bisa iya,Netral,Netral,Netral,negative,neutral
119,"@theorifai ketauan deh knp kualitas sistem msib masih kurang, ternyata modelan panitianya begini",ketahuan deh kenapa kualitas sistem msib masih kurang ternyata modelan panitianya begini,Netral,Negatif,Negatif,negative,negative
120,@babu_abu_abu ok makasih informasinya,ok terima kasih informasinya,Positif,Netral,Netral,neutral,neutral
121,"Matra mitra matra mitra, udahlah, msib4 tahun ini bener bener kacau",matra mitra matra mitra sudahlah msib4 tahun ini benar benar kacau,Positif,Negatif,Negatif,negative,negative
122,"@bro.swryz emg dri MSIB bro, diatas bilang “kita dari MSIB”. Makanya cukup membuat sakit ya melihat pernyataan dari salah satau pihak MSIB yg sangat menyalahkan mahasiswa. Padahal kami cuma minta klarifikasi, evaluasi, atau minimal minta maaf.",memang dari msib saudara laki-laki diatas bilang kita dari msib makanya cukup membuat sakit iya melihat pernyataan dari salah satau pihak msib yang sangat menyalahkan mahasiswa padahal kami cuma meminta klarifikasi evaluasi atau minimal meminta maaf,Negatif,Negatif,Negatif,negative,negative
123,"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",apakah studi independen mendapatkan uang saku setidaknya untuk beli kuota karena ternyata banyak pertrmuan sinkronusnya,Positif,Netral,Netral,neutral,neutral
124,Gue udah nethink abangnya ini salah satu tim msib😂 denial bangettttt,saya sudah nethink abangnya ini salah satu tim msib denial banget,Netral,Positif,Positif,neutral,negative
125,"@babu_abu_abu di kampus saya magang mandiri masih ada. tergantung kebijakan kampus kalo itu, bukan urusan pihak MSIB",di kampus saya magang mandiri masih ada tergantung kebijakan kampus kalau itu bukan urusan pihak msib,Netral,Netral,Netral,neutral,negative
