comment,clean,label_manual,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
"Tolong dong yang udah ikut MSIB udah gausah daftar lagi kasih kesempatan buat yang lain , Allah tidak suka dengan manusia serakah yakgesyakO emang paling keren kampus mengajar udahhh dia paham dan memberi relasi bagi yang belum mencoba. Fix kampus mengajarr paling mantep udah!!!",tolong msib enggak usah daftar kasih sempat allah suka manusia serakah yakgesyak keren kampus ajar udahhh paham relasi coba fix kampus mengajarr mantap,0,Positif,Negatif,Positif,positive,positive
Mbon ya nek ga di trima itu langsung di kasi keterangan jdi kita ga ngorbanin waktu kita buat nunggu yg kek ginian,mbon nek terima langsung kasih terang korban tunggu kayak,0,Negatif,Negatif,Negatif,neutral,negative
"@akhsannurkholish ya bang,saya aja dapat email dan saya balas sampai sekarang gak ada keterangan",bangsaya email balas terang,0,Positif,Netral,Netral,neutral,neutral
"Info magang teknik mesin, para-para korban 'sedang diproses'",informasi magang teknik mesin parapara korban proses,1,Negatif,Netral,Netral,neutral,neutral
@pradana.du telat cari tempat magang lain gara-gara nungguin 'sedang diproses',lambat cari magang garagara tunggu proses,0,Negatif,Negatif,Negatif,negative,negative
"@nggiiuu Oalah, kirain cuma aku",oalah,1,Netral,Negatif,Negatif,neutral,negative
@bagasnagapraha jengkloooooong,jengkloooooong,0,Netral,Positif,Negatif,negative,positive
@darryllaj ss lalu DM penasaran ,ss dm penasaran,1,Negatif,Negatif,Netral,negative,neutral
"@theorifai pusing juga sih mas, pdhl materai asli, dokumen persis sama temen"" malah beda hasilnya wkwk. Thanks mas sarannyaá",pusing materai asli dokumen persis teman beda hasil wkwk terima kasih saran,0,Positif,Negatif,Negatif,neutral,negative
@darryllaj wah makin banyak yg mention tanyakan langsung ke msib ya,mention langsung msib,1,Positif,Netral,Netral,neutral,neutral
@3ci___3 mewakili bgt :),wakil banget,0,Positif,Positif,Negatif,positive,positive
@syarbinilucky sekalian provide fitur cek eligibilitas berkas mandiri yg resmi,provide fitur cek eligibilitas berkas mandiri resmi,1,Netral,Netral,Netral,neutral,neutral
"Lebih baik buat pengumuman ""kesempatan 2 hari lagi buat ganti berkas"" %",umum sempat ganti berkas,2,Positif,Netral,Netral,neutral,neutral
"di sistem berkas udah eligible, tapi dari mitra menyatakan berkas non eligible, keluar nya SK dari kemendikbudristek ni?",sistem berkas eligible mitra berkas non eligible suka kemendikbudristek,1,Netral,Netral,Netral,positive,negative
@agnespmhrn benar bgt. Melepas hal lain hanya utk MSIB :(. Sedih parah,banget lepas msib sedih parah,0,Negatif,Negatif,Negatif,negative,negative
@mas.paijho sabarrr gess L,sabar gess,2,Netral,Positif,Positif,positive,positive
@bro.swryz gpp mas kami mendukung kok untuk protes. Mitra jg banyak rugi kok udah menerima eh banyak gugur jamaah,enggak apa dukung protes mitra rugi terima eh gugur jamaah,2,Positif,Negatif,Negatif,negative,negative
@mas.paijho alhamdulillah smatbilling terbaik untuknsaat ini,alhamdulillah smatbilling baik untuknsaat,2,Positif,Positif,Positif,positive,positive
@mas.paijho benar bung semangat,semangat,2,Netral,Positif,Positif,positive,positive
"please dong ditolak aja itu di web kalo emang udah gada harapan, jangan diproses terus. bikin ngarep tau nggaB",please tolak web enggak ada harap proses bikin harap,0,Netral,Negatif,Negatif,neutral,negative
"Rada² lucu si yaa sampe skrng masih bilang ""diproses"", setidaknya kasi tau lah ya kalo emang kita gak lolos gitu, gatau apa orang bolak-balik kampus cuma nyari ttd biar bisa daftar, tapi ya sudahlah yaaa!! Semangat guyss @wandaaaaah_ @hafiaturrodiah",rada lucu bilang proses kasih lolos enggak tau orang bolakbalik kampus cari ttd biar daftar semangat guyss,0,Positif,Negatif,Positif,neutral,negative
"@theorifai Ini cuma bentuk protes kami kok mas, yg mas katakan tentang mepet deadline atau kebenaran berkas itu sudah banyak dilakukan oleh mahasiswa tapi tetep ga ada jalan keluarnya hehe",bentuk protes dekat sekali deadline benar berkas mahasiswa jalan keluar he,0,Positif,Negatif,Negatif,negative,negative
@theorifai maaf kak kenapa tidak semua dokumen di cek? Kenapa masih banyak mahasiswa yang dinyatakan tidak lulus karna statusnya on review alias blm ditinjau?,maaf dokumen cek mahasiswa nyata lulus status on review alias tinjau,0,Negatif,Netral,Negatif,neutral,negative
@shntiarf kasi tau9#,kasih,1,Positif,Positif,Netral,positive,neutral
@theorifai udah jauh hari om daftarnya sebelum DL daftar malah diundur dan kebanyakan deh yg daftar,om daftar daftar undur banyak deh daftar,1,Positif,Netral,Negatif,neutral,negative
@bro.swryz ada plus minus kok dgn sistem ini. Next kalau daftar ga mendadak2 submitnya dan pastikan semua bener. Ga asal2.,plus minus sistem daftar mendadak2 submitnya pasti asal2,2,Negatif,Negatif,Netral,negative,negative
"@theorifai Yasudah kalau memang begitu, Memang faktanya kayak gitu mas di batch ini, kami yg dianggap ga eligible blm tentu salah karena beberapa kasus berjalan tidak sinkron seperti lolosnya peserta banding yg merupakan proses tinjau ulang bukan revisi. Lalu penutupan banding tgl 27, tp di tgl 28 peserta blm tau status dokumennya dan hingga onboarding hari ini pun masih ada yg statusnya on-review alias masih dicek. Apa ngga merugikan kalau gitu. Kalau mitra masnya masih ikut batch ini harusnya paham kondisi mahasiswa. Bahkan mitra saya aja masih memperjuangkan dan memberikan kesempatan hingga akhir dan tetap nyatanya saya tdk bisa ikut batch ini.",yasudah fakta kayak batch anggap eligible salah jalan sinkron lolos serta banding proses tinjau ulang revisi tutup banding tanggal tanggal serta status dokumen onboarding status onreview alias cek rugi mitra mas batch paham kondisi mahasiswa mitra juang sempat batch,0,Negatif,Negatif,Negatif,neutral,negative
"Gimana mau ,penerima tawaran dari mitra, sedangkan Web nya aj ,di Proses Mulu,. Udah ikut wawancara,dari tgl 9 kemarin dan sampai sekarang masi di proses""",terima tawar mitra web proses melulu wawancaradari tanggal kemarin proses,0,Negatif,Netral,Negatif,neutral,negative
@letsunshinegoestowaste  begitulah MSIB banyak error nya. Masih mencari2 format. Banyak drama yak. Tetap semangat rekan2 mahasiswa. Welcome to the jungle. Di mana dunia tidak seindah ketika orasi.,msib error mencari2 format drama semangat rekan2 mahasiswa welcome the jungle dunia indah orasi,0,Positif,Negatif,Negatif,neutral,negative
@shesahk Los sabare,los sabare,0,Netral,Positif,Netral,positive,positive
"Ga min gw dah move on dari kata kata manis mitra yaitu ""proses""",deh move on manis mitra proses,0,Positif,Positif,Positif,positive,neutral
@mas.paijho sabar,sabar,2,Netral,Positif,Positif,positive,positive
@bro.swryz pengalaman aja mas sebagai bagian mitra.,alam mitra,1,Netral,Positif,Netral,positive,neutral
Udah tes malah katanya posisi penuh gimana? @magangmerdeka,tes posisi penuh,1,Positif,Netral,Netral,positive,neutral
Gak yo ngunu kang mas...? @shesahk @bagasnagapraha,ngunu kang,1,Netral,Negatif,Negatif,positive,positive
"Hehehe Semua Hanya Takdir Yang Bisa Menentukan  Sudah Berusaha Dengan Maksimal, Masalah Hasil Kita Ngga Berhak Ngatur @shesahk @bagasnagapraha",hehehe takdir tentu usaha maksimal hasil hak atur,2,Netral,Positif,Positif,positive,negative
"@theorifai banding kemarin sebagian besar mengupload ulang file loh adalah salah satu bukti miscomm pihak internal msib. Pak @siddiqinz sendiri yang bilang hanya boleh upload ulang berkas yang sudah di-submit di web # makin keliatan regulasi dadakannya, kurang briefing apa ya, tag ketuanya deh @wahyuhari",banding kemarin mengupload ulang file loh salah bukti miscomm internal msib bilang upload ulang berkas disubmit web regulasi dada briefing tag ketua deh,0,Negatif,Negatif,Negatif,neutral,negative
Keluh kesah kena php ya kak,keluh kesah kena php,0,Negatif,Negatif,Negatif,negative,negative
@vadpavloo sama kak diproses mulu,proses melulu,1,Netral,Negatif,Negatif,negative,negative
"@theorifai masih saya tunggu klarifikasi soal banding dan upload dokumen banding yang benar seperti apa. Apalagi mengacu dari komentar Anda, sepertinya Kak Theo merupakan bagian dari tim msib. Apakah harus dokumen yang sama atau diperbolehkan mengunggah ulang dokumen revisi karena mengacu pada laman story @magangmerdeka waktu itu, banding bukan revisi. Minimal beri kami penjelasan yang konkret agar tidak muncul asumsi² buruk kedepannya. Jika memang banding bukan revisi, maka akui saja bila dari pihak msib ybs juga melakukan kekeliruan saat verifikasi sehingga diperlukan banding oleh mahasiswa yang tidak merasa salah. Lalu bagaimana soal peserta yang baru mengetahui status dokumennya setelah banding ditutup? Apakah itu adil? Berani berbuat berani bertanggung jawab, Kami sbg mahasiswa juga butuh kejelasan. Terima kasih.",tunggu klarifikasi banding upload dokumen banding acu komentar theo tim msib dokumen boleh unggah ulang dokumen revisi acu laman story banding revisi minimal jelas konkret muncul asumsi buruk depan banding revisi aku msib ybs keliru verifikasi banding mahasiswa salah serta status dokumen banding tutup adil berani buat berani tanggung mahasiswa butuh jelas terima kasih,0,Negatif,Negatif,Negatif,neutral,negative
@bchanh18_ aku baru dapat kepastian kalau akan kena cut off dan suruh nunggu status di webnya akan berubah,pasti kena cut off suruh tunggu status webnya ubah,0,Netral,Negatif,Netral,neutral,neutral
@bchanh18_ spill mitranya kak,spill mitra,1,Netral,Netral,Netral,negative,neutral
"@crownedk1ng sampai saat ini masih blm ada balasan lg dari mitra. Saya masih menunggu kepastian, setidaknya kalau memang saya dicutt off atau tidak saya ingin tau saja sih mas.",balas mitra tunggu pasti dicutt off,0,Netral,Netral,Netral,negative,negative
Tidurlah karena semua butuh mimpi,tidur butuh mimpi,1,Netral,Netral,Netral,negative,negative
"Email yg masuk YouTube, spotify, sertif, webinar, bibit, dll, ada si msib tapi smpe skrng masi kalem yang manggil wkwk",email masuk youtube spotify sertif webinar bibit dan lain msib kalem manggil wkwk,1,Netral,Netral,Netral,neutral,neutral
"@yunpnzr Minimal cari tau dulu kalau mau ngomong, helpdesk ga ngasih solusi, udah sering dihubungin jawabannya template. Jangankan helpdesk, Koor PT aja kaga bisa kasih pengaruh. Yang namanya aturan main disepakati di awal, ada juknis juklaknya yang jelas dan konsisten. Ga ada aturan main tiba² diganti di tengah permainan",minimal cari omong helpdesk asih solusi dihubungin jawab template helpdesk koor pt kasih pengaruh nama atur main pakat juknis juklaknya konsisten atur main ganti main,0,Negatif,Netral,Negatif,neutral,negative
"@babu_abu_abu namanya proses seleksi itu pasti ada masalah, gak mungkin 100% sukses dan semua proses seleksi pasti ada kolom banding. Harusnya semua orang tau ini, kecuali hidupnya gak pernah ikut seleksi. Disini gue liat emang mayoritas mutlak salah mahasiswa sih, kenapa gak mau cari tau sendiri trus milih berkoar ""MSIB gak adil! masa berkas gue bener semua disalahin"". Lah kenapa gak tanya kolom banding di helpdesk? Sekarang yang butuh siapa? Ya ikutin aturan mainnya. Kalo peserta ngerasa ada yang salah brarti peserta yang gak paham maksudnya",nama proses seleksi sukses proses seleksi kolom banding orang kecuali hidup seleksi lihat mayoritas mutlak salah mahasiswa cari pilih koar msib adil berkas disalahin kolom banding helpdesk butuh ikut atur main serta salah serta paham maksud,0,Positif,Negatif,Negatif,negative,negative
@bchanh18_ mas jadi sekarang masih ikut magang di mitranya apa engga ya?,magang mitra,1,Netral,Netral,Netral,positive,neutral
"@theorifai dah bang, argument lu udh banyak dipatahkan sama fakta. Faktanya banyak yg banding trs ACC dgn file yg sama krn ya itu tinjau ulang dokumen, bukan bikin ulang dokumen",deh argument patah fakta fakta banding accord file tinjau ulang dokumen bikin ulang dokumen,1,Netral,Negatif,Negatif,neutral,negative
"@putriiaane ya makanya saya kasih disclaimer. Tpi krn mbkm ini, kebijakan kampus jdi terlalu memberatkan klo cuma ngandelin msib yg skala nasional & mitra yg kerja sama ama univ bisa dihitung jari. Sedangkan satu angkatan d fakultas aja jumlahnya salah satu yg terbanyak d univ",kasih disclaimer mbkm bijak kampus berat ngandelin msib skala nasional mitra kerja universitas hitung jari angkat fakultas salah universitas,2,Positif,Negatif,Negatif,neutral,negative
@dehwyirnaya03 tolong lah ad kejelasanya,tolong jasa,1,Netral,Positif,Netral,neutral,neutral
Gimana nih kak udah dinyatakan lolos di mitra tapi di msib masih proses belum ad kejelasan setidaknya ada kejelasan lahh,nyata lolos mitra msib proses jelas jelas,1,Positif,Netral,Netral,positive,neutral
"@theorifai ketauan deh knp kualitas sistem msib masih kurang, ternyata modelan panitianya begini",tahu deh kualitas sistem msib model panitia,0,Netral,Positif,Negatif,neutral,negative
@babu_abu_abu ok makasih informasinya,ok terima kasih informasi,2,Positif,Positif,Netral,neutral,neutral
"Matra mitra matra mitra, udahlah, msib4 tahun ini bener bener kacau",matra mitra matra mitra msib4 kacau,0,Netral,Negatif,Negatif,neutral,negative
"@bro.swryz emg dri MSIB bro, diatas bilang kita dari MSIB. Makanya cukup membuat sakit ya melihat pernyataan dari salah satau pihak MSIB yg sangat menyalahkan mahasiswa. Padahal kami cuma minta klarifikasi, evaluasi, atau minimal minta maaf.",msib saudara laki atas bilang msib sakit nyata salah satau msib salah mahasiswa klarifikasi evaluasi minimal maaf,0,Negatif,Negatif,Negatif,neutral,negative
"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",studi independen uang saku beli kuota pertrmuan sinkronusnya,1,Netral,Netral,Netral,neutral,neutral
Gue udah nethink abangnya ini salah satu tim msib denial bangettttt,nethink abang salah tim msib denial banget,0,Netral,Negatif,Positif,positive,negative
"@babu_abu_abu di kampus saya magang mandiri masih ada. tergantung kebijakan kampus kalo itu, bukan urusan pihak MSIB",kampus magang mandiri gantung bijak kampus urus msib,1,Positif,Negatif,Netral,neutral,negative
"@theorifai hoki itu adalah mitos. Yang ada adalah salah satu atau kedua belah pihak yg salah. Okelah bagi temen temen mahaiswa yang lolos kemudian. Lalu bagaimana dengan mahasiswa lain yang padahal isi dokumennya sama (cuma beda di informasi pribadi) tapi tidak lulus? Berarti ada kesalahan saat verifikasi dong? Kan tadi abang bilang kalau panitia harus ngurusin puluhan ribu berkas kan, berarti ada celah human error dari pihak MSIB. Lalu kenapa tetap memiliki pandangan bahwa kami yang tidak teliti dan asal asaln?",hoki mitos salah belah salah oke teman teman mahaiswa lolos mahasiswa isi dokumen beda informasi pribadi lulus salah verifikasi abang bilang panitia urus puluh ribu berkas celah human error msib milik pandang teliti asaln,0,Netral,Negatif,Negatif,negative,negative
lucu. udah on boarding masi aja offering. apa2 di perpanjang yaa. giliran seleksi berkas yang mendadak cuma diperpanjang itungan jam,lucu on boarding offering apa panjang gilir seleksi berkas dadak panjang hitung jam,0,Positif,Negatif,Negatif,neutral,negative
@bro.swryz padahal mahasiswa mana yang daftar MSIB asal asalan. Informasi dan sistem yg kurang malah lempar batu sembunyi tangan. Ujung ujungnya mahasiswa lagi yang harus ngalah dan salah menurut mereka.,mahasiswa daftar msib asal informasi sistem lempar batu sembunyi tangan ujung ujung mahasiswa kalah salah,0,Netral,Negatif,Negatif,negative,negative
"@bro.swryz pantesan kacau bro, wong salah satu panitianya aja gini, bukannya minta maaf malah nyalahin dan menganggap kesalahan adalah sebuah hal yg biasa wkwkwk",pantesan kacau saudara laki salah panitia maaf salah anggap salah wkwkwk,0,Negatif,Negatif,Negatif,negative,negative
"@theorifai Saya kembali jelaskan konsep banding sesuai story official akun msib pada 27 Januari 2023 lalu bahwa banding itu bukan revisi, tapi crosscheck dokumen kembali. Jadi harusnya ga ada yg berubah dr dokumennya, hanya hasil crosschecknya yang berubah. Tapi saya juga gatau kalau ternyata diperbolehkan dan diluluskan ketika mengunggah dokumen revisi. Berarti pihak msib ga konsisten kalau itu benar terjadi. Trus kalau masnya melabeling semua yg reject itu asal - asalan, apa kabar yang lolos banding? Bisa dibilang ada kesalahan sistem saat verifikasi pertama lalu dicek kembali melalui banding. Kesimpulannya belum tentu yang reject asal²an, bukan? Nah sayangnya tidak sedikit yang mengetahui info banding ini, bahkan di mitra saya kemarin ada yang hingga tgl 28 Januari 2023 statusnya masih dalam review. Kan gambling kalau gini.",konsep banding sesuai story official akun msib januari banding revisi crosscheck dokumen ubah dokumen hasil crosschecknya ubah enggak tau boleh lulus unggah dokumen revisi msib konsisten mas melabeling reject asal kabar lolos banding bilang salah sistem verifikasi cek banding simpul reject asal sayang informasi banding mitra kemarin tanggal januari status review gambling,2,Positif,Negatif,Negatif,neutral,negative
"@tamhaikall klo skrg, positif g lolos sih bang. Klo kmrn2 tuh baru gaje",positif lolos kmrn2 tuh enggak jelas,0,Positif,Negatif,Negatif,negative,negative
"Serius, ini testimoni kating saya. MBKM cuma buat formalitas program pemerintah & ajang pamer2an univ atas syp yg paling banyak mahasiswanya diterima di program pemerintah. Sampe2 program magang mandiri dihapus (klo d fakultas saya sih gitu) biar ngikut pemerintah aja. Jadi yg g MBKM, kena cap ga punya peluang. Pdhl krn peluang yg lain dipaksa ditutup. Gembar-gembor dipromosiin, mindset mhs dibikin seolah MBKM itu segalanya buat mhs, pdhl realita pelaksanaannya banyak pihak yg masih acuh. Kurang koordinasi. Kurang sosialisasi. Harusnya saya dengerin testimoni dr kating saya itu. Karena realitanya 100% akurat. Ga semanis yg dijanjikan. DI MANA MERDEKA NYA?",serius testimoni kating mbkm formalitas program perintah ajang pamer2an universitas mahasiswa terima program perintah sampe2 program magang mandiri hapus fakultas biar perintah mbkm kena cap peluang peluang paksa tutup gembargembor dipromosiin mindset mhs bikin mbkm mhs realita laksana acuh koordinasi sosialisasi dengar testimoni kating realitanya akurat seman janji merdeka,0,Negatif,Negatif,Negatif,negative,negative
"@theorifai lahh bang, lu pikir semua itu asal2an huh? Gimana gue yg udh nyiapin bener2 jauh2 hari dan detail hah?",pikir asal2an huh benar jauh2 detail hah,0,Positif,Negatif,Negatif,negative,negative
"@bro.swryz kalau bersungguh2 kan berarti memang mempersiapkan dgn baik kan? Ga asal scan dan comot materai dll? Ga asal apply, ga hobi mepet dedline. Hoki lebih memihak bagi mereka yg bersungguh2.",bersungguh2 scan comot materai dan lain apply hobi dekat sekali dedline hoki bersungguh2,2,Positif,Positif,Positif,positive,positive
"Kalo blm lulus, Yah sudahlah blm rejeki B",lulus rezeki,0,Netral,Positif,Negatif,positive,negative
"@juaniko_kristianto iya minimal smt 5, berarti 5,6,7,8 dst pasti bisa mas. Asal gak bentrok dengan jadwal lain seperti kkn, skripsi, atau wisuda.",minimal smt dan terus bentrok jadwal kkn skripsi wisuda,1,Netral,Negatif,Netral,neutral,neutral
"@frontry_rama tapi... dr MSIB jg g jelas kak... Ini mhs nasional loh yg kena prank, bukan satu-dua perusahaan yg males ACC",msib mhs nasional loh kena prank satudua usaha malas accord,0,Negatif,Negatif,Negatif,negative,negative
Bintang 1,bintang,1,Netral,Positif,Positif,positive,positive
"Masih diproses, sepertinya saya gagal magang lagi ",proses gagal magang,0,Netral,Negatif,Negatif,negative,negative
Ayo dong min kejelasannya gimana,ayo jelas,2,Positif,Netral,Netral,positive,negative
"Pak @nadiemmakarim kami di gantung, mau nanya tapi No Dm Service. Nanya di web Kampus Merdeka ga ada Balasan",gantung no dm service web kampus merdeka balas,0,Netral,Netral,Netral,neutral,negative
"Emg bener kata sebelah ""diam adalah emas""O",belah diam emas,2,Netral,Negatif,Negatif,negative,negative
@rijalulmufty_1 iya nihh ga ada kepastian lolos atau engga nih,pasti lolos,0,Netral,Positif,Netral,positive,neutral
@bagjha__ samanya kita,sama,1,Netral,Positif,Netral,positive,neutral
"@pradana.du IYA SETUJUU BGTT. TRANSPARAN DONG KLO DI TOLAK, JGN BIKIN ORANG NUNGGU @magangmerdeka @puslapdik_dikbud @nadiemmakarim",setujuu banget transparan tolak bikin orang tunggu,0,Positif,Negatif,Netral,negative,negative
@dianicoputra aminnn,amin,1,Netral,Positif,Positif,positive,positive
"@3ci___3 betul. Bukannya gabisa belajar nerima, kita jg ga cuman berharap doang, usaha kita juga jadinya ngecewain hasil",enggak bisa ajar terima cuman harap doang usaha ngecewain hasil,0,Netral,Negatif,Negatif,negative,negative
"Kalo ga lolos umumin pliss, biar aku bisa lanjut penelitian nih --",lolos umumin pliss biar teliti,0,Negatif,Netral,Netral,neutral,neutral
kak kok ini proses melulu gaada email apapun,proses melulu enggak ada email apa,1,Netral,Negatif,Negatif,negative,negative
"@bchanh18_ casenya sama ya mas berarti, semoga segera ada kejelasan",casenya moga jelas,1,Positif,Netral,Netral,positive,neutral
