,comment,clean
70,"Ternyata ngak cintaku aja yg diproses diterima apa ngak, pendaftaran msib ku juga di proses, nasib2😢",cinta proses terima daftar msib ku proses nasib2
71,"@theorifai mohon maaf mas, punya temen saya kan ttdnya dekan tetapi punya saya itu rektor. Tapi temen saya yg eligible tetapi punyaku gak, udah saya bandingin dokumenku sama dokumen temenku, diliat"" sama"" aja. Yang bikin beda emng apa ya?",mohon maaf teman ttdnya dekan rektor teman eligible punya banding dokumen dokumen temenku bikin beda
72,@3ci___3 mewakili bgt :),wakil banget
73,@syarbinilucky sekalian provide fitur cek eligibilitas berkas mandiri yg resmi,provide fitur cek eligibilitas berkas mandiri resmi
74,"Lebih baik buat pengumuman ""kesempatan 2 hari lagi buat ganti berkas"" 🔥",umum sempat ganti berkas
75,"di sistem berkas udah eligible, tapi dari mitra menyatakan berkas non eligible, keluar nya SK dari kemendikbudristek ni?",sistem berkas eligible mitra berkas non eligible suka kemendikbudristek
76,@agnespmhrn benar bgt. Melepas hal lain hanya utk MSIB :(. Sedih parah,banget lepas msib sedih parah
77,@mas.paijho sabarrr gess 🙌,sabar gess
78,@bro.swryz gpp mas kami mendukung kok untuk protes. Mitra jg banyak rugi kok udah menerima eh banyak gugur jamaah,enggak apa dukung protes mitra rugi terima eh gugur jamaah
79,@mas.paijho alhamdulillah smatbilling terbaik untuknsaat ini😂,alhamdulillah smatbilling baik untuknsaat
80,@mas.paijho benar bung semangat,semangat
81,"please dong ditolak aja itu di web kalo emang udah gada harapan, jangan diproses terus. bikin ngarep tau ngga🙂",please tolak web enggak ada harap proses bikin harap
82,"Rada² lucu si yaa sampe skrng masih bilang ""diproses"", setidaknya kasi tau lah ya kalo emang kita gak lolos gitu, gatau apa orang bolak-balik kampus cuma nyari ttd biar bisa daftar, tapi ya sudahlah yaaa!! Semangat guyss @wandaaaaah_ @hafiaturrodiah",rada lucu bilang proses kasih lolos enggak tau orang bolakbalik kampus cari ttd biar daftar semangat guyss
83,"@theorifai Ini cuma bentuk protes kami kok mas, yg mas katakan tentang mepet deadline atau kebenaran berkas itu sudah banyak dilakukan oleh mahasiswa tapi tetep ga ada jalan keluarnya hehe",bentuk protes dekat sekali deadline benar berkas mahasiswa jalan keluar he
84,@theorifai maaf kak kenapa tidak semua dokumen di cek? Kenapa masih banyak mahasiswa yang dinyatakan tidak lulus karna statusnya on review alias blm ditinjau?,maaf dokumen cek mahasiswa nyata lulus status on review alias tinjau
85,@shntiarf kasi tau😹🤣,kasih
86,@theorifai udah jauh hari om daftarnya sebelum DL daftar malah diundur dan kebanyakan deh yg daftar,om daftar daftar undur banyak deh daftar
87,@bro.swryz ada plus minus kok dgn sistem ini. Next kalau daftar ga mendadak2 submitnya dan pastikan semua bener. Ga asal2.,plus minus sistem daftar mendadak2 submitnya pasti asal2
88,"@theorifai Yasudah kalau memang begitu, Memang faktanya kayak gitu mas di batch ini, kami yg dianggap ga eligible blm tentu salah karena beberapa kasus berjalan tidak sinkron seperti lolosnya peserta banding yg merupakan proses tinjau ulang bukan revisi. Lalu penutupan banding tgl 27, tp di tgl 28 peserta blm tau status dokumennya dan hingga onboarding hari ini pun masih ada yg statusnya on-review alias masih dicek. Apa ngga merugikan kalau gitu. Kalau mitra masnya masih ikut batch ini harusnya paham kondisi mahasiswa. Bahkan mitra saya aja masih memperjuangkan dan memberikan kesempatan hingga akhir dan tetap nyatanya saya tdk bisa ikut batch ini.",yasudah fakta kayak batch anggap eligible salah jalan sinkron lolos serta banding proses tinjau ulang revisi tutup banding tanggal tanggal serta status dokumen onboarding status onreview alias cek rugi mitra mas batch paham kondisi mahasiswa mitra juang sempat batch
89,"Gimana mau ,penerima tawaran dari mitra, sedangkan Web nya aj ,di Proses Mulu,. Udah ikut wawancara,dari tgl 9 kemarin dan sampai sekarang masi di proses😢😢",terima tawar mitra web proses melulu wawancaradari tanggal kemarin proses
90,@letsunshinegoestowaste 😂😂😂😂 begitulah MSIB banyak error nya. Masih mencari2 format. Banyak drama yak. Tetap semangat rekan2 mahasiswa. Welcome to the jungle. Di mana dunia tidak seindah ketika orasi.,msib error mencari2 format drama semangat rekan2 mahasiswa welcome the jungle dunia indah orasi
91,@shesahk Los sabare,los sabare
92,"Ga min gw dah move on dari kata kata manis mitra yaitu ""proses""",deh move on manis mitra proses
93,@mas.paijho sabar,sabar
94,@bro.swryz pengalaman aja mas sebagai bagian mitra.,alam mitra
95,Udah tes malah katanya posisi penuh gimana? @magangmerdeka,tes posisi penuh
96,Gak yo ngunu kang mas...? @shesahk @bagasnagapraha,ngunu kang
97,"Hehehe Semua Hanya Takdir Yang Bisa Menentukan 😄 Sudah Berusaha Dengan Maksimal, Masalah Hasil Kita Ngga Berhak Ngatur @shesahk  @bagasnagapraha",hehehe takdir tentu usaha maksimal hasil hak atur
98,"@theorifai “banding kemarin sebagian besar mengupload ulang file loh” adalah salah satu bukti miscomm pihak internal msib. Pak @siddiqinz sendiri yang bilang hanya boleh upload ulang berkas yang sudah di-submit di web 🤣 makin keliatan regulasi dadakannya, kurang briefing apa ya, tag ketuanya deh @wahyuhari",banding kemarin mengupload ulang file loh salah bukti miscomm internal msib bilang upload ulang berkas disubmit web regulasi dada briefing tag ketua deh
99,Keluh kesah kena php ya kak,keluh kesah kena php
100,@vadpavloo sama kak diproses mulu,proses melulu
101,"@theorifai masih saya tunggu klarifikasi soal banding dan upload dokumen banding yang benar seperti apa. Apalagi mengacu dari komentar Anda, sepertinya Kak Theo merupakan bagian dari tim msib. Apakah harus dokumen yang sama atau diperbolehkan mengunggah ulang dokumen revisi karena mengacu pada laman story @magangmerdeka waktu itu, banding bukan revisi. Minimal beri kami penjelasan yang konkret agar tidak muncul asumsi² buruk kedepannya. Jika memang banding bukan revisi, maka akui saja bila dari pihak msib ybs juga melakukan kekeliruan saat verifikasi sehingga diperlukan banding oleh mahasiswa yang tidak merasa salah. Lalu bagaimana soal peserta yang baru mengetahui status dokumennya setelah banding ditutup? Apakah itu adil? Berani berbuat berani bertanggung jawab, Kami sbg mahasiswa juga butuh kejelasan. Terima kasih.",tunggu klarifikasi banding upload dokumen banding acu komentar theo tim msib dokumen boleh unggah ulang dokumen revisi acu laman story banding revisi minimal jelas konkret muncul asumsi buruk depan banding revisi aku msib ybs keliru verifikasi banding mahasiswa salah serta status dokumen banding tutup adil berani buat berani tanggung mahasiswa butuh jelas terima kasih
102,#MSIBDiproses,
103,@bchanh18_ aku baru dapat kepastian kalau akan kena cut off dan suruh nunggu status di webnya akan berubah,pasti kena cut off suruh tunggu status webnya ubah
104,@bchanh18_ spill mitranya kak,spill mitra
105,"@crownedk1ng sampai saat ini masih blm ada balasan lg dari mitra. Saya masih menunggu kepastian, setidaknya kalau memang saya dicutt off atau tidak saya ingin tau saja sih mas.",balas mitra tunggu pasti dicutt off
106,Tidurlah karena semua butuh mimpi 😌,tidur butuh mimpi
107,"Email yg masuk YouTube, spotify, sertif, webinar, bibit, dll, ada si msib tapi smpe skrng masi kalem yang manggil wkwk",email masuk youtube spotify sertif webinar bibit dan lain msib kalem manggil wkwk
108,"@yunpnzr Minimal cari tau dulu kalau mau ngomong, helpdesk ga ngasih solusi, udah sering dihubungin jawabannya template. Jangankan helpdesk, Koor PT aja kaga bisa kasih pengaruh. Yang namanya aturan main disepakati di awal, ada juknis juklaknya yang jelas dan konsisten. Ga ada aturan main tiba² diganti di tengah permainan😂",minimal cari omong helpdesk asih solusi dihubungin jawab template helpdesk koor pt kasih pengaruh nama atur main pakat juknis juklaknya konsisten atur main ganti main
109,https://bit.ly/PanduanOfferingMSIB,
110,"@babu_abu_abu namanya proses seleksi itu pasti ada masalah, gak mungkin 100% sukses dan semua proses seleksi pasti ada kolom banding. Harusnya semua orang tau ini, kecuali hidupnya gak pernah ikut seleksi. Disini gue liat emang mayoritas mutlak salah mahasiswa sih, kenapa gak mau cari tau sendiri trus milih berkoar ""MSIB gak adil! masa berkas gue bener semua disalahin"". Lah kenapa gak tanya kolom banding di helpdesk? Sekarang yang butuh siapa? Ya ikutin aturan mainnya. Kalo peserta ngerasa ada yang salah brarti peserta yang gak paham maksudnya",nama proses seleksi sukses proses seleksi kolom banding orang kecuali hidup seleksi lihat mayoritas mutlak salah mahasiswa cari pilih koar msib adil berkas disalahin kolom banding helpdesk butuh ikut atur main serta salah serta paham maksud
111,@bchanh18_ mas jadi sekarang masih ikut magang di mitranya apa engga ya?,magang mitra
112,@afanvio.stwnnn,
113,"@theorifai dah bang, argument lu udh banyak dipatahkan sama fakta. Faktanya banyak yg banding trs ACC dgn file yg sama krn ya itu tinjau ulang dokumen, bukan bikin ulang dokumen",deh argument patah fakta fakta banding accord file tinjau ulang dokumen bikin ulang dokumen
114,"@putriiaane ya makanya saya kasih disclaimer. Tpi krn mbkm ini, kebijakan kampus jdi terlalu memberatkan klo cuma ngandelin msib yg skala nasional & mitra yg kerja sama ama univ bisa dihitung jari. Sedangkan satu angkatan d fakultas aja jumlahnya salah satu yg terbanyak d univ",kasih disclaimer mbkm bijak kampus berat ngandelin msib skala nasional mitra kerja universitas hitung jari angkat fakultas salah universitas
115,😢😢😢😢😢😢😢😢😢😢,
116,@dehwyirnaya03 tolong lah ad kejelasanya,tolong jasa
117,Gimana nih kak udah dinyatakan lolos di mitra tapi di msib masih proses belum ad kejelasan setidaknya ada kejelasan lahh,nyata lolos mitra msib proses jelas jelas
118,@qindardanii kita blm bisa ya?,
119,"@theorifai ketauan deh knp kualitas sistem msib masih kurang, ternyata modelan panitianya begini",tahu deh kualitas sistem msib model panitia
120,@babu_abu_abu ok makasih informasinya,ok terima kasih informasi
121,"Matra mitra matra mitra, udahlah, msib4 tahun ini bener bener kacau",matra mitra matra mitra msib4 kacau
122,"@bro.swryz emg dri MSIB bro, diatas bilang “kita dari MSIB”. Makanya cukup membuat sakit ya melihat pernyataan dari salah satau pihak MSIB yg sangat menyalahkan mahasiswa. Padahal kami cuma minta klarifikasi, evaluasi, atau minimal minta maaf.",msib saudara laki atas bilang msib sakit nyata salah satau msib salah mahasiswa klarifikasi evaluasi minimal maaf
123,"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",studi independen uang saku beli kuota pertrmuan sinkronusnya
124,Gue udah nethink abangnya ini salah satu tim msib😂 denial bangettttt,nethink abang salah tim msib denial banget
125,"@babu_abu_abu di kampus saya magang mandiri masih ada. tergantung kebijakan kampus kalo itu, bukan urusan pihak MSIB",kampus magang mandiri gantung bijak kampus urus msib
126,@wiidya.wt,
127,"@theorifai hoki itu adalah mitos. Yang ada adalah salah satu atau kedua belah pihak yg salah. Okelah bagi temen temen mahaiswa yang lolos kemudian. Lalu bagaimana dengan mahasiswa lain yang padahal isi dokumennya sama (cuma beda di informasi pribadi) tapi tidak lulus? Berarti ada kesalahan saat verifikasi dong? Kan tadi abang bilang kalau panitia harus ngurusin puluhan ribu berkas kan, berarti ada celah human error dari pihak MSIB. Lalu kenapa tetap memiliki pandangan bahwa kami yang tidak teliti dan asal asaln?",hoki mitos salah belah salah oke teman teman mahaiswa lolos mahasiswa isi dokumen beda informasi pribadi lulus salah verifikasi abang bilang panitia urus puluh ribu berkas celah human error msib milik pandang teliti asaln
128,lucu. udah on boarding masi aja offering. apa2 di perpanjang yaa. giliran seleksi berkas yang mendadak cuma diperpanjang itungan jam,lucu on boarding offering apa panjang gilir seleksi berkas dadak panjang hitung jam
129,@bro.swryz padahal mahasiswa mana yang daftar MSIB asal asalan. Informasi dan sistem yg kurang malah lempar batu sembunyi tangan. Ujung ujungnya mahasiswa lagi yang harus ngalah dan “salah” menurut mereka.,mahasiswa daftar msib asal informasi sistem lempar batu sembunyi tangan ujung ujung mahasiswa kalah salah
130,"@bro.swryz pantesan kacau bro, wong salah satu panitianya aja gini, bukannya minta maaf malah nyalahin dan menganggap kesalahan adalah sebuah hal yg biasa wkwkwk",pantesan kacau saudara laki salah panitia maaf salah anggap salah wkwkwk
131,"@theorifai Saya kembali jelaskan konsep banding sesuai story official akun msib pada 27 Januari 2023 lalu bahwa banding itu bukan revisi, tapi crosscheck dokumen kembali. Jadi harusnya ga ada yg berubah dr dokumennya, hanya hasil crosschecknya yang berubah. Tapi saya juga gatau kalau ternyata diperbolehkan dan diluluskan ketika mengunggah dokumen revisi. Berarti pihak msib ga konsisten kalau itu benar terjadi. Trus kalau masnya melabeling semua yg reject itu asal - asalan, apa kabar yang lolos banding?😂 Bisa dibilang ada kesalahan sistem saat verifikasi pertama lalu dicek kembali melalui banding. Kesimpulannya belum tentu yang reject asal²an, bukan? Nah sayangnya tidak sedikit yang mengetahui info banding ini, bahkan di mitra saya kemarin ada yang hingga tgl 28 Januari 2023 statusnya masih dalam review. Kan gambling kalau gini.",konsep banding sesuai story official akun msib januari banding revisi crosscheck dokumen ubah dokumen hasil crosschecknya ubah enggak tau boleh lulus unggah dokumen revisi msib konsisten mas melabeling reject asal kabar lolos banding bilang salah sistem verifikasi cek banding simpul reject asal sayang informasi banding mitra kemarin tanggal januari status review gambling
132,"@tamhaikall klo skrg, positif g lolos sih bang. Klo kmrn2 tuh baru gaje",positif lolos kmrn2 tuh enggak jelas
133,"@theorifai mengingat ini program pemerintah, sistemnya harusnya bisa lebih efisien sih. Klo emg dr mitra dirasa udh cukup kandidatnya, bisa lansung reject all aja. Mhs jg g ngelewatin TERLALU BANYAK KESEMPATAN krn masih digantung MSIB. Soalnya kata kampus ""jgn serakah, tunggu dulu satu, baru ambil yg lain"" kan mhs jg serba bingung",program perintah sistem efisien mitra rasa kandidat lansung reject all mhs ngelewatin sempat gantung msib kampus serakah tunggu ambil mhs serba bingung
134,"Ga ada notif lulus tidaknya min,,,diproses trus😢😢😢",notif lulus tidak mindiproses
135,"@theorifai Loh iya memang😂, tapi buktinya banyak yg emang bersungguh² tapi hampir gagal bahkan gagal di berkas gara² sistem. Yang jadi concern saya bagian ini. Saya tekankan jangan labeling semua yang gagal itu sengaja salah atau berniat memalsukan berkas. Wong banyak juga yang hasil bandingnya lolos. Berarti kan sebenernya dia ga salah tapi dianggap salah lalu dikoreksi kembali jadi benar😂",loh bukti sungguh gagal gagal berkas gara sistem concern tekan labeling gagal sengaja salah niat palsu berkas hasil banding lolos salah anggap salah koreksi
136,"Serius, ini testimoni kating saya. MBKM cuma buat formalitas program pemerintah & ajang pamer2an univ atas syp yg paling banyak mahasiswanya diterima di program pemerintah. Sampe2 program magang mandiri dihapus (klo d fakultas saya sih gitu) biar ngikut pemerintah aja. Jadi yg g MBKM, kena cap ga punya peluang. Pdhl krn peluang yg lain dipaksa ditutup. Gembar-gembor dipromosiin, mindset mhs dibikin seolah MBKM itu segalanya buat mhs, pdhl realita pelaksanaannya banyak pihak yg masih acuh. Kurang koordinasi. Kurang sosialisasi. Harusnya saya dengerin testimoni dr kating saya itu. Karena realitanya 100% akurat. Ga semanis yg dijanjikan. DI MANA MERDEKA NYA?",serius testimoni kating mbkm formalitas program perintah ajang pamer2an universitas mahasiswa terima program perintah sampe2 program magang mandiri hapus fakultas biar perintah mbkm kena cap peluang peluang paksa tutup gembargembor dipromosiin mindset mhs bikin mbkm mhs realita laksana acuh koordinasi sosialisasi dengar testimoni kating realitanya akurat seman janji merdeka
137,"@theorifai lahh bang, lu pikir semua itu asal2an huh? Gimana gue yg udh nyiapin bener2 jauh2 hari dan detail hah?",pikir asal2an huh benar jauh2 detail hah
138,"@bro.swryz kalau bersungguh2 kan berarti memang mempersiapkan dgn baik kan? Ga asal scan dan comot materai dll? Ga asal apply, ga hobi mepet dedline.  Hoki lebih memihak bagi mereka yg bersungguh2.",bersungguh2 scan comot materai dan lain apply hobi dekat sekali dedline hoki bersungguh2
139,#msibbatch4kacau,
140,"Kalo blm lulus, Yah sudahlah blm rejeki 🙂",lulus rezeki
141,"@juaniko_kristianto iya minimal smt 5, berarti 5,6,7,8 dst pasti bisa mas. Asal gak bentrok dengan jadwal lain seperti kkn, skripsi, atau wisuda.",minimal smt dan terus bentrok jadwal kkn skripsi wisuda
142,"@frontry_rama tapi... dr MSIB jg g jelas kak... Ini mhs nasional loh yg kena prank, bukan satu-dua perusahaan yg males ACC",msib mhs nasional loh kena prank satudua usaha malas accord
143,Bintang 1,bintang
144,"Masih diproses, sepertinya saya gagal magang lagi 😂",proses gagal magang
145,Ayo dong min kejelasannya gimana,ayo jelas
146,"Pak @nadiemmakarim kami di gantung, mau nanya tapi No Dm Service. Nanya di web Kampus Merdeka ga ada Balasan😑",gantung no dm service web kampus merdeka balas
147,@rijalulmufty_1 😂,
148,"Emg bener kata sebelah ""diam adalah emas""👏",belah diam emas
149,@rijalulmufty_1 iya nihh ga ada kepastian lolos atau engga nih,pasti lolos
150,GAJELAS,
151,@bagjha__ samanya kita,sama
152,#MSIBBATCH4KACAU,
153,"@pradana.du IYA SETUJUU BGTT. TRANSPARAN DONG KLO DI TOLAK, JGN BIKIN ORANG NUNGGU @magangmerdeka @puslapdik_dikbud @nadiemmakarim",setujuu banget transparan tolak bikin orang tunggu
154,@dianicoputra aminnn,amin
155,"@3ci___3 betul. Bukannya gabisa belajar nerima, kita jg ga cuman berharap doang, usaha kita juga jadinya ngecewain hasil",enggak bisa ajar terima cuman harap doang usaha ngecewain hasil
156,"Kalo ga lolos umumin pliss, biar aku bisa lanjut penelitian nih 😭😭",lolos umumin pliss biar teliti
157,kak kok ini proses melulu gaada email apapun,proses melulu enggak ada email apa
158,"@bchanh18_ casenya sama ya mas berarti, semoga segera ada kejelasan",casenya moga jelas
159,@pradana.du betul,
160,kak kenapa yang saya masih proses aja yaa,proses
161,"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",harap ajaib tulis proses pasti proses bingung sempat lepas msib msib kabar
162,"@dianicoputra maaf mas izin komentar. Saya juga seperti ini kasusnya, sudah dinyatakan lolos dari web tetapi tidak dapat invitation onboarding dan nama saya di mitra juga tidak ada. Tetapi dari pihak recruitment mitra menyatakan saya lolos. Sampai bingung harus bagaimana dan berujung saya sudah terlanjur tidak melanjutkan pendaftaran ke tempat lain. Saya doakan yang terbaik juga utk masnya ya🙏🏻",maaf izin komentar kasus nyata lolos web invitation onboarding nama mitra recruitment mitra lolos bingung ujung lanjur lanjut daftar doa baik mas
163,"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",harap ajaib tulis proses pasti proses bingung sempat lepas msib msib kabar
164,"Isoke bro, gw juga korbannya. Biar tuhan yang membalas mereka semua nanti semoga setelah kerja nanti kita bisa meninggalkan negeri ini untuk dapat kehidupan yang layak dan lebih dihargai🙌",isoke saudara laki korban biar tuhan balas moga kerja tinggal negeri hidup layak harga
165,@stanisnath,
166,Min @magangmerdeka kalo di web tulisannya di proses terus bagaimana ya? Padahal dapet email ketrima,web tulis proses email terima
167,"semangat yg udah mulai masuk hari ini, semoga kesempatan baik nya menular ya",semangat masuk moga sempat tular
168,"@theorifai Gabisa digeneralisasi juga, jatuhnya rugi buat mereka yang beneran bersungguh² dan memang seharusnya layak join program ini. Jatuhnya seleksi modal hoki. GWS buat negeri ini, membiasakan kebiasaan yang salah demi keuntungan satu pihak aja bahkan ada pihak yang masih menganggap ini wajar😂",enggak bisa generalisasi jatuh rugi benar sungguh layak join program jatuh seleksi modal hoki cepat sembuh negeri biasa biasa salah untung anggap wajar
169,msib nya rusaaaakkk wkwk,msib rusaaaakkk wkwk
170,"@_andrieseprian yah pada akhirnya mahasiswa yang disalahkan, baik dari kampus bahkan ternyata dari kakak panitia MSIB nya terkait hal ini. Besar harapan kami untuk batch selanjutnya agar lebih baik sistemnya, kejelasannya, dan kerendahan hatinya untuk klarifikasi dengan mendengarkan tanpa menyalahkan. Saya paham betul bahwa tugas kakak kakak sangat berat, namun alangkah lebih baiknya untuk memberikan klarifikasi secara resmi jika ada kejadian seperti ini agar kami tidak berharap.",mahasiswa salah kampus panitia msib kait harap batch sistem jelas rendah hati klarifikasi dengar salah paham tugas berat alangkah baik klarifikasi resmi jadi harap
