,comment,clean,topic
90,@letsunshinegoestowaste 😂😂😂😂 begitulah MSIB banyak error nya. Masih mencari2 format. Banyak drama yak. Tetap semangat rekan2 mahasiswa. Welcome to the jungle. Di mana dunia tidak seindah ketika orasi.,msib error cari format drama yak semangat rekan mahasiswa welcome to the jungle dunia indah orasi,0
91,@shesahk Los sabare,los sabare,0
92,"Ga min gw dah move on dari kata kata manis mitra yaitu ""proses""",deh move on manis mitra proses,1
93,@mas.paijho sabar,paijho sabar,0
94,@bro.swryz pengalaman aja mas sebagai bagian mitra.,alam mitra,1
95,Udah tes malah katanya posisi penuh gimana? @magangmerdeka,udah tes posisi penuh gimana,1
96,Gak yo ngunu kang mas...? @shesahk @bagasnagapraha,ngunu kang,0
97,"Hehehe Semua Hanya Takdir Yang Bisa Menentukan 😄 Sudah Berusaha Dengan Maksimal, Masalah Hasil Kita Ngga Berhak Ngatur @shesahk  @bagasnagapraha",hehehe takdir usaha maksimal hasil ngga hak ngatur,1
98,"@theorifai “banding kemarin sebagian besar mengupload ulang file loh” adalah salah satu bukti miscomm pihak internal msib. Pak @siddiqinz sendiri yang bilang hanya boleh upload ulang berkas yang sudah di-submit di web 🤣 makin keliatan regulasi dadakannya, kurang briefing apa ya, tag ketuanya deh @wahyuhari",banding kemarin mengupload ulang file loh salah bukti miscomm internal msib bilang upload ulang berkas submit web lihat regulasi dada briefing tag ketua deh,0
99,Keluh kesah kena php ya kak,keluh kesah kena php,2
100,@vadpavloo sama kak diproses mulu,proses melulu,1
101,"@theorifai masih saya tunggu klarifikasi soal banding dan upload dokumen banding yang benar seperti apa. Apalagi mengacu dari komentar Anda, sepertinya Kak Theo merupakan bagian dari tim msib. Apakah harus dokumen yang sama atau diperbolehkan mengunggah ulang dokumen revisi karena mengacu pada laman story @magangmerdeka waktu itu, banding bukan revisi. Minimal beri kami penjelasan yang konkret agar tidak muncul asumsi² buruk kedepannya. Jika memang banding bukan revisi, maka akui saja bila dari pihak msib ybs juga melakukan kekeliruan saat verifikasi sehingga diperlukan banding oleh mahasiswa yang tidak merasa salah. Lalu bagaimana soal peserta yang baru mengetahui status dokumennya setelah banding ditutup? Apakah itu adil? Berani berbuat berani bertanggung jawab, Kami sbg mahasiswa juga butuh kejelasan. Terima kasih.",tunggu klarifikasi banding upload dokumen banding acu komentar theo rupa tim msib dokumen unggah ulang dokumen revisi acu laman story banding revisi minimal konkret muncul asumsi buruk banding revisi msib ybs laku keliru verifikasi banding mahasiswa salah status dokumen banding tutup adil berani berani tanggung sbg mahasiswa butuh terima kasih,0
102,#MSIBDiproses,,0
103,@bchanh18_ aku baru dapat kepastian kalau akan kena cut off dan suruh nunggu status di webnya akan berubah,kena cut off suruh nunggu status webnya ubah,1
104,@bchanh18_ spill mitranya kak,spill mitra,2
105,"@crownedk1ng sampai saat ini masih blm ada balasan lg dari mitra. Saya masih menunggu kepastian, setidaknya kalau memang saya dicutt off atau tidak saya ingin tau saja sih mas.",balas mitra tunggu dicutt off,2
106,Tidurlah karena semua butuh mimpi 😌,tidur butuh mimpi,0
107,"Email yg masuk YouTube, spotify, sertif, webinar, bibit, dll, ada si msib tapi smpe skrng masi kalem yang manggil wkwk",email masuk youtube spotify sertif webinar bibit dll si msib smpe skrng kalem manggil wkwk,2
108,"@yunpnzr Minimal cari tau dulu kalau mau ngomong, helpdesk ga ngasih solusi, udah sering dihubungin jawabannya template. Jangankan helpdesk, Koor PT aja kaga bisa kasih pengaruh. Yang namanya aturan main disepakati di awal, ada juknis juklaknya yang jelas dan konsisten. Ga ada aturan main tiba² diganti di tengah permainan😂",minimal cari ngomong helpdesk solusi dihubungin template helpdesk koor pt kasih pengaruh nama atur main pakat juknis juklaknya konsisten atur main ganti main,0
109,https://bit.ly/PanduanOfferingMSIB,,0
110,"@babu_abu_abu namanya proses seleksi itu pasti ada masalah, gak mungkin 100% sukses dan semua proses seleksi pasti ada kolom banding. Harusnya semua orang tau ini, kecuali hidupnya gak pernah ikut seleksi. Disini gue liat emang mayoritas mutlak salah mahasiswa sih, kenapa gak mau cari tau sendiri trus milih berkoar ""MSIB gak adil! masa berkas gue bener semua disalahin"". Lah kenapa gak tanya kolom banding di helpdesk? Sekarang yang butuh siapa? Ya ikutin aturan mainnya. Kalo peserta ngerasa ada yang salah brarti peserta yang gak paham maksudnya",nama proses seleksi sukses proses seleksi kolom banding orang kecuali hidup seleksi lihat emang mayoritas mutlak salah mahasiswa cari trus milih koar msib adil berkas disalahin kolom banding helpdesk butuh ikutin atur main kalo ngerasa salah brarti paham maksud,0
111,@bchanh18_ mas jadi sekarang masih ikut magang di mitranya apa engga ya?,magang mitra engga,2
112,@afanvio.stwnnn,,0
113,"@theorifai dah bang, argument lu udh banyak dipatahkan sama fakta. Faktanya banyak yg banding trs ACC dgn file yg sama krn ya itu tinjau ulang dokumen, bukan bikin ulang dokumen",deh argument udh patah fakta fakta banding acc file tinjau ulang dokumen bikin ulang dokumen,0
114,"@putriiaane ya makanya saya kasih disclaimer. Tpi krn mbkm ini, kebijakan kampus jdi terlalu memberatkan klo cuma ngandelin msib yg skala nasional & mitra yg kerja sama ama univ bisa dihitung jari. Sedangkan satu angkatan d fakultas aja jumlahnya salah satu yg terbanyak d univ",kasih disclaimer tpi mbkm bijak kampus berat ngandelin msib skala nasional mitra kerja univ hitung jari angkat fakultas salah univ,0
115,😢😢😢😢😢😢😢😢😢😢,,0
116,@dehwyirnaya03 tolong lah ad kejelasanya,tolong jasa,2
117,Gimana nih kak udah dinyatakan lolos di mitra tapi di msib masih proses belum ad kejelasan setidaknya ada kejelasan lahh,gimana nyata lolos mitra msib proses lahh,1
118,@qindardanii kita blm bisa ya?,,0
119,"@theorifai ketauan deh knp kualitas sistem msib masih kurang, ternyata modelan panitianya begini",deh kualitas sistem msib nyata model panitia,0
120,@babu_abu_abu ok makasih informasinya,ok terima kasih informasi,1
121,"Matra mitra matra mitra, udahlah, msib4 tahun ini bener bener kacau",matra mitra matra mitra udahlah msib kacau,2
122,"@bro.swryz emg dri MSIB bro, diatas bilang “kita dari MSIB”. Makanya cukup membuat sakit ya melihat pernyataan dari salah satau pihak MSIB yg sangat menyalahkan mahasiswa. Padahal kami cuma minta klarifikasi, evaluasi, atau minimal minta maaf.",emg msib bilang msib sakit lihat nyata salah satau msib salah mahasiswa klarifikasi evaluasi minimal maaf,0
123,"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",studi independen uang saku beli kuota nyata pertrmuan sinkronusnya,1
124,Gue udah nethink abangnya ini salah satu tim msib😂 denial bangettttt,gue nethink abang salah tim msib denial bangettttt,0
125,"@babu_abu_abu di kampus saya magang mandiri masih ada. tergantung kebijakan kampus kalo itu, bukan urusan pihak MSIB",kampus magang mandiri gantung bijak kampus urus msib,2
126,@wiidya.wt,,0
127,"@theorifai hoki itu adalah mitos. Yang ada adalah salah satu atau kedua belah pihak yg salah. Okelah bagi temen temen mahaiswa yang lolos kemudian. Lalu bagaimana dengan mahasiswa lain yang padahal isi dokumennya sama (cuma beda di informasi pribadi) tapi tidak lulus? Berarti ada kesalahan saat verifikasi dong? Kan tadi abang bilang kalau panitia harus ngurusin puluhan ribu berkas kan, berarti ada celah human error dari pihak MSIB. Lalu kenapa tetap memiliki pandangan bahwa kami yang tidak teliti dan asal asaln?",hoki mitos salah belah salah oke teman teman mahaiswa lolos mahasiswa isi dokumen beda informasi pribadi lulus arti salah verifikasi abang bilang panitia ngurusin puluh ribu berkas arti celah human error msib milik pandang teliti asaln,0
128,lucu. udah on boarding masi aja offering. apa2 di perpanjang yaa. giliran seleksi berkas yang mendadak cuma diperpanjang itungan jam,lucu on boarding offering yaa gilir seleksi berkas dadak hitung jam,1
129,@bro.swryz padahal mahasiswa mana yang daftar MSIB asal asalan. Informasi dan sistem yg kurang malah lempar batu sembunyi tangan. Ujung ujungnya mahasiswa lagi yang harus ngalah dan “salah” menurut mereka.,mahasiswa daftar msib informasi sistem lempar batu sembunyi tangan ujung ujung mahasiswa ngalah salah,0
130,"@bro.swryz pantesan kacau bro, wong salah satu panitianya aja gini, bukannya minta maaf malah nyalahin dan menganggap kesalahan adalah sebuah hal yg biasa wkwkwk",pantesan kacau salah panitia gin maaf nyalahin anggap salah buah wkwkwk,1
131,"@theorifai Saya kembali jelaskan konsep banding sesuai story official akun msib pada 27 Januari 2023 lalu bahwa banding itu bukan revisi, tapi crosscheck dokumen kembali. Jadi harusnya ga ada yg berubah dr dokumennya, hanya hasil crosschecknya yang berubah. Tapi saya juga gatau kalau ternyata diperbolehkan dan diluluskan ketika mengunggah dokumen revisi. Berarti pihak msib ga konsisten kalau itu benar terjadi. Trus kalau masnya melabeling semua yg reject itu asal - asalan, apa kabar yang lolos banding?😂 Bisa dibilang ada kesalahan sistem saat verifikasi pertama lalu dicek kembali melalui banding. Kesimpulannya belum tentu yang reject asal²an, bukan? Nah sayangnya tidak sedikit yang mengetahui info banding ini, bahkan di mitra saya kemarin ada yang hingga tgl 28 Januari 2023 statusnya masih dalam review. Kan gambling kalau gini.",konsep banding sesuai story official akun msib januari banding revisi crosscheck dokumen ubah dr dokumen hasil crosschecknya ubah gatau nyata lulus unggah dokumen revisi arti msib konsisten trus melabeling reject kabar lolos banding bilang salah sistem verifikasi cek banding simpul reject sayang informasi banding mitra kemarin tanggal januari status review gambling gin,0
132,"@tamhaikall klo skrg, positif g lolos sih bang. Klo kmrn2 tuh baru gaje",skrg positif g lolos klo kmrn tuh,2
133,"@theorifai mengingat ini program pemerintah, sistemnya harusnya bisa lebih efisien sih. Klo emg dr mitra dirasa udh cukup kandidatnya, bisa lansung reject all aja. Mhs jg g ngelewatin TERLALU BANYAK KESEMPATAN krn masih digantung MSIB. Soalnya kata kampus ""jgn serakah, tunggu dulu satu, baru ambil yg lain"" kan mhs jg serba bingung",program perintah sistem efisien klo emg dr mitra udh kandidat lansung reject all aja mhs g ngelewatin gantung msib kampus jgn serakah tunggu ambil mhs serba bingung,2
134,"Ga ada notif lulus tidaknya min,,,diproses trus😢😢😢",notif lulus proses trus,0
135,"@theorifai Loh iya memang😂, tapi buktinya banyak yg emang bersungguh² tapi hampir gagal bahkan gagal di berkas gara² sistem. Yang jadi concern saya bagian ini. Saya tekankan jangan labeling semua yang gagal itu sengaja salah atau berniat memalsukan berkas. Wong banyak juga yang hasil bandingnya lolos. Berarti kan sebenernya dia ga salah tapi dianggap salah lalu dikoreksi kembali jadi benar😂",loh bukti emang sungguh gagal gagal berkas gara sistem concern tekan labeling gagal sengaja salah niat palsu berkas hasil banding lolos arti sebenernya salah anggap salah koreksi,1
136,"Serius, ini testimoni kating saya. MBKM cuma buat formalitas program pemerintah & ajang pamer2an univ atas syp yg paling banyak mahasiswanya diterima di program pemerintah. Sampe2 program magang mandiri dihapus (klo d fakultas saya sih gitu) biar ngikut pemerintah aja. Jadi yg g MBKM, kena cap ga punya peluang. Pdhl krn peluang yg lain dipaksa ditutup. Gembar-gembor dipromosiin, mindset mhs dibikin seolah MBKM itu segalanya buat mhs, pdhl realita pelaksanaannya banyak pihak yg masih acuh. Kurang koordinasi. Kurang sosialisasi. Harusnya saya dengerin testimoni dr kating saya itu. Karena realitanya 100% akurat. Ga semanis yg dijanjikan. DI MANA MERDEKA NYA?",serius testimoni kating mbkm formalitas program perintah ajang pamer univ mahasiswa terima program perintah sampe program magang mandiri hapus klo fakultas gitu biar perintah aja g mbkm kena cap peluang pdhl peluang paksa tutup gembar gembor dipromosiin mindset mhs bikin olah mbkm mhs pdhl realita laksana acuh koordinasi sosialisasi dengerin testimoni dr kating realitanya akurat seman janji merdeka,2
137,"@theorifai lahh bang, lu pikir semua itu asal2an huh? Gimana gue yg udh nyiapin bener2 jauh2 hari dan detail hah?",lahh pikir huh gimana udh bener detail hah,2
138,"@bro.swryz kalau bersungguh2 kan berarti memang mempersiapkan dgn baik kan? Ga asal scan dan comot materai dll? Ga asal apply, ga hobi mepet dedline.  Hoki lebih memihak bagi mereka yg bersungguh2.",sungguh arti scan comot materai dll apply hobi dedline hoki sungguh,2
139,#msibbatch4kacau,,0
140,"Kalo blm lulus, Yah sudahlah blm rejeki 🙂",kalo lulus yah rezeki,1
141,"@juaniko_kristianto iya minimal smt 5, berarti 5,6,7,8 dst pasti bisa mas. Asal gak bentrok dengan jadwal lain seperti kkn, skripsi, atau wisuda.",minimal smt arti bentrok jadwal kkn skripsi wisuda,0
142,"@frontry_rama tapi... dr MSIB jg g jelas kak... Ini mhs nasional loh yg kena prank, bukan satu-dua perusahaan yg males ACC",dr msib g mhs nasional loh kena prank usaha males acc,1
143,Bintang 1,bintang,0
144,"Masih diproses, sepertinya saya gagal magang lagi 😂",proses gagal magang,0
145,Ayo dong min kejelasannya gimana,ayo,0
146,"Pak @nadiemmakarim kami di gantung, mau nanya tapi No Dm Service. Nanya di web Kampus Merdeka ga ada Balasan😑",gantung no dm service nanya web kampus merdeka balas,2
147,@rijalulmufty_1 😂,,0
148,"Emg bener kata sebelah ""diam adalah emas""👏",emg belah diam emas,0
149,@rijalulmufty_1 iya nihh ga ada kepastian lolos atau engga nih,nihh lolos engga,2
150,GAJELAS,,0
151,@bagjha__ samanya kita,,0
152,#MSIBBATCH4KACAU,,0
153,"@pradana.du IYA SETUJUU BGTT. TRANSPARAN DONG KLO DI TOLAK, JGN BIKIN ORANG NUNGGU @magangmerdeka @puslapdik_dikbud @nadiemmakarim",du setujuu bgtt transparan klo tolak jgn bikin orang nunggu,2
154,@dianicoputra aminnn,aminnn,0
155,"@3ci___3 betul. Bukannya gabisa belajar nerima, kita jg ga cuman berharap doang, usaha kita juga jadinya ngecewain hasil",gabisa ajar nerima cuman harap doang usaha ngecewain hasil,1
156,"Kalo ga lolos umumin pliss, biar aku bisa lanjut penelitian nih 😭😭",kalo lolos umumin pliss biar teliti,1
157,kak kok ini proses melulu gaada email apapun,proses melulu uang email,1
158,"@bchanh18_ casenya sama ya mas berarti, semoga segera ada kejelasan",casenya arti moga,0
159,@pradana.du betul,du,2
160,kak kenapa yang saya masih proses aja yaa,proses yaa,1
161,"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",harap ajaib tulis proses proses bingung lepas msib nyata msib kabar,1
162,"@dianicoputra maaf mas izin komentar. Saya juga seperti ini kasusnya, sudah dinyatakan lolos dari web tetapi tidak dapat invitation onboarding dan nama saya di mitra juga tidak ada. Tetapi dari pihak recruitment mitra menyatakan saya lolos. Sampai bingung harus bagaimana dan berujung saya sudah terlanjur tidak melanjutkan pendaftaran ke tempat lain. Saya doakan yang terbaik juga utk masnya ya🙏🏻",maaf izin komentar nyata lolos web invitation onboarding nama mitra recruitment mitra nyata lolos bingung ujung lanjur daftar doa,1
163,"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",harap ajaib tulis proses proses bingung lepas msib nyata msib kabar,1
164,"Isoke bro, gw juga korbannya. Biar tuhan yang membalas mereka semua nanti semoga setelah kerja nanti kita bisa meninggalkan negeri ini untuk dapat kehidupan yang layak dan lebih dihargai🙌",isoke korban biar tuhan balas moga kerja tinggal negeri hidup layak harga,0
165,@stanisnath,,0
166,Min @magangmerdeka kalo di web tulisannya di proses terus bagaimana ya? Padahal dapet email ketrima,web tulis proses email terima,2
167,"semangat yg udah mulai masuk hari ini, semoga kesempatan baik nya menular ya",semangat masuk moga tular,2
